arm,seed,p_a,window,universe,fee,bench,mean_notional,turnover_per_day,cand_final,bench_final,cand_dd,bench_dd,growth_diff,growth_lo,growth_hi,dd_diff,dd_lo,dd_hi,n_days,scramble_p90,scramble_survived,perm,identity_perm
aim_gp,-1,0.007308858316727723,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248308371490006,0.19203125859487002,,,,,0.5890409438898985,,,,,,,-322.5862327935542,True,,
aim_gp_fixedperm,0,0.007308858316727723,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248308371490006,0.19203125859487002,394.99865545773105,2816.4140645144726,86.12786279548014,78.92683564118703,-1.9578000248735996,-3.8221082589654385,-0.11000602166687747,7.201027154293115,-18.49980290959813,26.1168751417502,2332,,,3;2;1;4;0;5,False
aim_gp_fixedperm,1,0.007308858316727723,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248308371490006,0.19203125859487002,1624.5819479510137,2816.4140645144726,76.84223908251239,78.92683564118703,-0.5436765869977405,-2.6692424726721207,1.6118477273240257,-2.084596558674633,-26.306052834524902,21.29298949517538,2332,,,1;4;2;5;3;0,False
aim_gp_fixedperm,2,0.007308858316727723,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248308371490006,0.19203125859487002,366.9538562551323,2816.4140645144726,84.20227417720079,78.92683564118703,-2.0314462779896862,-4.016781279497733,-0.21528031271045264,5.275438536013766,-19.577978443163136,23.934051022336952,2332,,,3;4;0;2;5;1,False
aim_gp_fixedperm,3,0.007308858316727723,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248308371490006,0.19203125859487002,1123.8238670257724,2816.4140645144726,85.44955168081943,78.92683564118703,-0.9121900696242111,-3.151984522920687,1.3516613918741083,6.5227160396323995,-20.65546902140997,25.140177709714376,2332,,,2;0;3;5;4;1,False
aim_gp_fixedperm,4,0.007308858316727723,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248308371490006,0.19203125859487002,1507.7932306537407,2816.4140645144726,63.407214611134265,78.92683564118703,-0.6182799616487624,-2.615636293381178,1.3383086811834068,-15.519621030052761,-30.414687286624865,14.258599372893642,2332,,,1;4;0;5;2;3,False
aim_gp_fixedperm,5,0.007308858316727723,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248308371490006,0.19203125859487002,1175.985301415085,2816.4140645144726,84.6220209739027,78.92683564118703,-0.8668207562806851,-3.1859563205421146,1.3039929295136723,5.695185332715681,-22.298772452402094,19.758636406544607,2332,,,0;1;5;4;2;3,False
aim_gp_fixedperm,6,0.007308858316727723,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248308371490006,0.19203125859487002,402.7376613015249,2816.4140645144726,84.83188443768096,78.92683564118703,-1.9383970003995072,-3.9349909328230006,-0.08984118168288827,5.905048796493929,-19.60802583943105,24.05977565930146,2332,,,3;4;0;1;2;5,False
aim_gp_fixedperm,7,0.007308858316727723,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248308371490006,0.19203125859487002,470.3212112930685,2816.4140645144726,90.2054369216785,78.92683564118703,-1.7832664963079787,-3.5980694414805523,0.01711480526691854,11.278601280491472,-19.233130780569137,23.54247183922997,2332,,,2;3;5;4;1;0,False
aim_gp_fixedperm,8,0.007308858316727723,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248308371490006,0.19203125859487002,624.1380581889362,2816.4140645144726,79.1501698252668,78.92683564118703,-1.5003107948689027,-3.504525489238169,0.43648828224595054,0.2233341840797749,-21.20063281035413,21.636188172197322,2332,,,1;0;4;2;5;3,False
aim_gp_fixedperm,9,0.007308858316727723,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248308371490006,0.19203125859487002,2793.7166798306757,2816.4140645144726,69.50194642559856,78.92683564118703,-0.0015542542562245742,-2.1616842001097614,2.104146722037442,-9.424889215588465,-26.645406062591295,16.35412452149053,2332,,,2;0;1;5;4;3,False
aim_gp,-2,0.007308858316727723,W_FULL6,U6,0.001,VOLMATCH_HOLD,,,,,,,0.5890409438898985,,,,,,,-0.4894643537235891,True,fixed-permutation diagnostic control,
