asset,window,market,fee,v4_final,v4_dd,v4_sharpe,v4_trades,v4_liq,hold_final,hold_dd,hold_sharpe,hold_liq,c_mean_notional,mh_final,mh_dd,mh_sharpe,v4_vol,mh_vol,dd_matched_diff,dd_matched_lo,dd_matched_hi,growth_matched_diff,growth_matched_lo,growth_matched_hi
XTZ,FULL,futures_5x,0.0005,1096.923748352694,42.38907458670171,0.21186591120620438,180,False,18.045197864321608,99.92469656001384,0.5659112062197251,True,0.19812022885983077,1171.5608295017942,35.26488711285345,0.2339050176469146,0.3176182461013448,0.19289703011899675,5.947528849683145,-5.608700233396844,36.15500693283481,-0.06658826320446326,-0.988824354450131,0.8513058597656415
BCH,FULL,spot,0.004,609.1576501518846,71.06720798622892,-0.023638470401374272,184,False,971.0535939849624,94.65574554661566,0.4795893216242912,False,0.28773338259798115,1724.0831454269717,47.995926336188184,0.4465990941229309,0.38680921797973383,0.2624914498738207,23.663378710723826,2.7563863943497235,55.079955912344126,-1.0352061769330898,-2.3740332504660033,0.21721605439512004
LTC,FULL,spot,0.004,324.31941835605227,86.0642109804879,-0.2579541536279671,191,False,1189.5782641509434,90.43335525915907,0.5086184157285906,False,0.30899753983940015,1838.4406872042568,42.67466050641994,0.4714107456716793,0.37601320163326574,0.2578408628269556,45.39441439978943,12.02695885332068,61.50930560719574,-1.7353135650460465,-2.947468845484674,-0.5770853332794754
ETC,FULL,spot,0.004,1089.1771836442408,68.1188828791884,0.2268972538703331,185,False,1316.3963358284445,96.28968603670606,0.6421270408308332,False,0.21788591093500992,2063.680239347059,29.642552453393765,0.6061206804921038,0.37212060388440643,0.21828314236344756,40.51202572199048,12.604366074731862,55.076025261597614,-0.6358463606123707,-1.8905992400664315,0.7531694342927289
DASH,FULL,spot,0.004,1021.6473813148679,68.88315346376855,0.19460931259994224,221,False,486.5831274583672,96.3330132912582,0.537481046187875,False,0.19025435827929785,1591.6003345465622,30.58138888263014,0.48708437468710986,0.33664682128013274,0.19958711341803492,39.30924791714159,7.630990158789708,51.54776117823057,-0.4414813871420259,-1.5483751137966748,0.7319866645073055
LINK,FULL,spot,0.004,1135.7330153965731,60.48735211654987,0.24196789424452914,206,False,4616.46264177142,90.58824103940962,0.7676822971199947,False,0.2787671239185832,2989.7055928301,38.28849590690737,0.714285311328733,0.3747924658399161,0.2802853049188473,25.240997915316946,3.0823733779084437,50.69854046668673,-0.9694072816506178,-2.2437968865270568,0.3202924431773713
XTZ,FULL,spot,0.004,451.5440214680098,67.66182064948612,-0.20963224832523705,180,False,132.495881327647,97.88674826176492,0.28802815838238705,False,0.19812022885983077,1137.19261641907,36.38655901297166,0.2116897338483427,0.3511243198050325,0.19287184231775448,31.41251558966755,12.46662963489278,54.93133345951253,-0.9251006252736824,-1.938574512854465,0.15836466719267578
BCH,BEAR22,spot,0.001,850.9089221916676,26.107068920394234,-1.0854158470049975,16,False,399.2276896626064,71.00575393005963,-1.0642229949961404,False,0.1527156967001816,903.450801195414,14.181183122161134,-1.0628665020631571,0.21138114287551332,0.1440105430082966,9.38611602697011,-11.903915724285625,21.38523364055815,-0.05685383230200407,-0.2785289411228078,0.19123939855678335
LTC,BEAR22,spot,0.001,980.8893254134068,20.699349926341036,0.0760577061021608,29,False,791.9242049947972,62.11633630842744,0.11564276597962594,False,0.22302406748692377,989.303932765394,17.912465056270644,0.032529664432871475,0.3403677836074625,0.21658509348943109,0.9545455525914832,-9.907674667926623,21.00778657579507,-0.0014342712071948455,-0.2790587862846767,0.3171748245457343
ETC,BEAR22,spot,0.001,1251.2470888837508,20.94248406412638,1.1747404168554914,18,False,746.7744553775744,62.17874737626368,0.21026790316550265,False,0.1370772727725637,1013.2734918945397,11.006925562667789,0.2192308943651811,0.4389690791000019,0.17397274180766392,8.771893088974519,-5.2302818238809445,17.135394668289727,0.21817109394041861,-0.14907040659128412,0.7113639141074787
