k,h,ticker,cand_dd,cand_trades,c_mean_notional,mh_dd,dd_diff,dd_lo,dd_hi
0.002,0.02,LTC,51.40053916450869,89,0.2737811976519099,39.28061424771031,11.26359033964097,0.6953605003117215,29.50850096502183
0.002,0.02,ETC,51.96982290345896,147,0.21341098464903951,29.026717568896355,24.478012216461707,6.014930192460588,42.88914243412945
0.002,0.02,DASH,40.816487192785075,97,0.23188349517511767,35.03560476239657,5.869041507500562,-0.0547585222531007,25.806143421442783
0.002,0.02,LINK,47.682787557910686,84,0.26002952401719814,35.64428048154773,13.759591430548934,0.27507934147169916,36.73746190632965
0.002,0.02,XTZ,40.129449976304855,148,0.19292730254725274,31.402635238339414,8.697474832708952,-0.5313682698891194,38.12070208606894
0.002,0.02,BTC,47.46837761691573,52,0.24292043959078125,27.428481020151736,20.06259910541111,3.7290248561137473,36.29605592285926
0.002,0.02,ETH,49.56983272509493,58,0.33135163502786036,38.98976889329735,12.398992110099982,-0.460264156943015,27.798454529951215
0.002,0.04,BCH,58.40745047253889,36,0.26413718811879083,44.11174797478657,14.526754234583862,3.8453016668444353,41.79368816398035
0.002,0.04,LTC,33.02534975186154,33,0.18912376660459243,28.72247625125805,3.515839459383706,-1.88573725891959,20.239759921986437
0.002,0.04,ETC,48.43323865715228,41,0.16830863117825182,23.352484967688618,26.328172080673927,4.539808371316455,38.35866139567442
0.002,0.04,DASH,32.46522257844624,28,0.17734687326873552,26.843512965396304,4.903920251009197,-1.7014417507678552,19.93263538344707
0.002,0.04,LINK,39.12819201656138,21,0.23421754354108518,32.50207061002139,9.357501745346966,-0.7488558361928128,26.696577057739006
0.002,0.04,XTZ,49.3661215733284,23,0.23945708794232567,38.78296618389994,10.256383060857097,-6.141590112380148,27.715571339776947
0.002,0.04,BTC,49.13470360435088,2,0.37977868963139033,39.24992888343381,9.77100357328947,0.0700000091060882,19.734241051777364
0.002,0.04,ETH,36.02373550668239,28,0.24069688629669794,30.773473846245786,6.412217113980375,-1.9806858060104957,19.67181600022346
