arm,window,universe,bench,hold_days,turnover_per_day,rebalances_per_day,implied_log_drag_total,mean_notional,gross_growth_diff,gross_growth_lo,gross_growth_hi,net_growth_diff,net_growth_lo,net_growth_hi,net_dd_diff,net_dd_lo,net_dd_hi,cand_final,bench_final,cand_dd,bench_dd,n_days,p_delta_in,p_buffer,p_hold_days,p_delta_out,p_k,volmatch_c_net,volmatch_vol_net,volmatch_matched_net,cand_vol_net,volmatch_c_gross,volmatch_vol_gross,volmatch_matched_gross,cand_vol_gross,n_bars,tenure_days,membership_change_rate_thresholded
entry_gate,W_TRAIN,U8,VOLMATCH_HOLD,1.06312292358804,1.1560135751173408,0.978125,0.7398486880750982,0.4307115148305013,-1.5451475032192485,-4.036624473372151,0.8311575769785406,-2.3141992871701778,-5.411314416104038,0.400965278920768,22.808045086776048,-12.810135726588468,55.473911347038914,733.8732549227352,7443.9831348468,82.75532845466846,59.94728336789241,639,0.28,0.0,0.0,0.0,1,0.916190914573863,0.8674869838638921,True,0.8695239485197265,0.8910896191031898,0.8432317293261389,True,0.8457543955209968,184320,0.7223102008258259,0.940625
entry_gate,W_TRAIN,U8,VOLMATCH_HOLD,1.4645308924485125,0.776309792551559,0.7109375,0.49683826723299773,0.32472734913122836,-1.7497353500636967,-4.192914413066633,0.5926271031238467,-2.288452465918801,-5.159748151009877,0.22846858683111979,17.380919225895433,-9.794517244928864,54.46307612499423,703.2296376943204,6951.029949256544,75.24658632328587,57.865667097390435,639,0.35,0.0,0.0,0.0,1,0.8754670162077933,0.829600598924426,True,0.8308743566681733,0.860545997194272,0.8143360896800516,True,0.8167647159974076,184320,0.7769056468440271,0.6828125
R63_REF,W_VAL,U8,VOLMATCH_HOLD,0.41430192962542567,2.528176800047855,2.43013698630137,0.9227845320174671,0.408704161028632,0.604780987858091,-0.3368852089081132,1.6330085680690989,-0.24628278989822538,-1.5851012758006202,1.1299578979908707,7.910577575515845,-23.02678671027434,34.05487181541009,285.4055321207132,377.6996078876227,73.32733907384268,65.41676149832684,364,nan,0.0,0.0,0.0,1,0.9442456165635664,0.7502189782880408,True,0.7494355557264848,0.8900029406813756,0.7055529523558172,True,0.7063188835063312,105120,0.3378139897323066,2.4136986301369863
entry_gate,W_VAL,U8,VOLMATCH_HOLD,0.41430192962542567,2.528176800047855,2.43013698630137,0.9227845320174671,0.408704161028632,0.604780987858091,-0.3368852089081132,1.6330085680690989,-0.24628278989822538,-1.5851012758006202,1.1299578979908707,7.910577575515845,-23.02678671027434,34.05487181541009,285.4055321207132,377.6996078876227,73.32733907384268,65.41676149832684,364,0.0,0.0,0.0,0.0,1,0.9442456165635664,0.7502189782880408,True,0.7494355557264848,0.8900029406813756,0.7055529523558172,True,0.7063188835063312,105120,0.3378139897323066,2.4136986301369863
entry_gate,W_VAL,U8,VOLMATCH_HOLD,0.6517857142857143,1.7772174765759772,1.5506849315068494,0.6486843789502317,0.40210817107310515,0.5379603605379362,-0.42555750776211154,1.554949719228454,-0.06291403600528522,-1.3342856215336918,1.2278418456634776,2.307861493548259,-25.72762251142056,30.02742357146937,346.7111898028649,381.8273131874579,67.37158402743484,65.06372253388658,364,0.005,0.0,0.0,0.0,1,0.9345312129900666,0.7422795106714228,True,0.7417253590224188,0.8926169523106392,0.7065189269930434,True,0.7083933999950526,105120,0.47320846374543557,1.5342465753424657
entry_gate,W_VAL,U8,VOLMATCH_HOLD,0.852803738317757,1.4709650299812933,1.1863013698630136,0.5369022359431721,0.39440589725347,0.5480465203707804,-0.4054791196242046,1.5611498124927647,0.05701562327187959,-1.1562040532057947,1.286321026636186,-2.653919124311969,-28.342881673628717,27.51634848243552,390.92802922851666,381.85368373787134,62.39347005676581,65.04738918107778,364,0.01,0.0,0.0,0.0,1,0.9336074296823984,0.7416182479058235,True,0.7409921641370957,0.8974941484502019,0.7104642324683226,True,0.712264011623931,105120,0.5671362623368355,1.1726027397260275
entry_gate,W_VAL,U8,VOLMATCH_HOLD,1.0703812316715542,1.2299019960309194,0.947945205479452,0.4489142285512856,0.3787537431482283,0.5163879444333043,-0.3878266332458798,1.5419940776590992,0.09986774844823365,-1.041000588065685,1.3223317559013519,-4.858299028708913,-27.716802374993375,26.57296478564561,409.15586060085315,382.86841005835157,60.09821946773489,64.9565184964438,364,0.02,0.0,0.0,0.0,1,0.9317185181242469,0.7400996429629617,True,0.7394929594190972,0.8997116715322071,0.7133146109679991,True,0.7140238692107299,105120,0.6568007662835249,0.9342465753424658
entry_gate,W_VAL,U8,VOLMATCH_HOLD,1.465863453815261,0.9764007853505772,0.6958904109589041,0.3563862866529607,0.35436378002730295,0.6903766066792834,-0.27294564875020916,1.7451659462623823,0.3878000052616505,-0.8002095343211644,1.6284052637138067,-9.687642711161025,-39.230724614059,23.672693044080297,570.0528522668227,399.4443669882481,53.63848210980362,63.326124820964644,364,0.04,0.0,0.0,0.0,1,0.8944418756973206,0.7089232531160039,True,0.7099069695635009,0.8667298409431925,0.6868501734302597,True,0.6878490233840489,105120,0.7885324483775811,0.6821917808219178
entry_gate,W_VAL,U8,VOLMATCH_HOLD,2.3548387096774195,0.658467289204691,0.4328767123287671,0.24034056055971223,0.3174667137403061,0.8394535249343743,-0.1402621637720297,1.856236508472709,0.6236095975674458,-0.5002088255648764,1.7732893843038158,-9.398319460683474,-45.93173806790417,17.965165263683744,757.166977030793,418.66676221024187,52.17133590260672,61.569655363290195,364,0.08,0.0,0.0,0.0,1,0.8649289355083609,0.6849531336773904,True,0.6864829299453656,0.8425455630995695,0.6677553462954372,True,0.6686560394689204,105120,1.1171328671328673,0.4246575342465753
entry_gate,W_VAL,U8,VOLMATCH_HOLD,3.0416666666666665,0.517570643117684,0.33424657534246577,0.18891328473795466,0.2756023299379678,0.7011309864956015,-0.34382169282705405,1.7805112133714043,0.5551509366532982,-0.6318526440477069,1.75461113070383,-4.206148930064458,-47.53594433456761,22.230742308779412,742.623123137491,439.0330835523674,55.6119225581283,59.81807148819276,364,0.12,0.0,0.0,0.0,1,0.8207869601601645,0.6538671350695245,True,0.6514480139810899,0.8004864000012738,0.6377360955128191,True,0.6352772945649368,105120,1.2459647147147146,0.3287671232876712
entry_gate,W_VAL,U8,VOLMATCH_HOLD,9.35897435897436,0.1377853566272601,0.11232876712328767,0.050291655168949935,0.2605419832865264,0.6528919971838254,-0.36262160100537416,1.6998303079470234,0.6109118638746722,-0.4431104589049065,1.688338188313202,-9.879558815806114,-48.11914325209573,16.889581101211036,818.8206855004762,457.49402074850394,48.47913011394397,58.35868892975008,364,0.16,0.0,0.0,0.0,1,0.8003074550775019,0.6376802400383974,True,0.6351936951858536,0.7916755953695432,0.6271352138358898,True,0.628284915769523,105120,4.089735243055555,0.10684931506849316
entry_gate,W_VAL,U8,VOLMATCH_HOLD,21.470588235294116,0.04285928988289054,0.049315068493150684,0.015643640807255048,0.23021718826144502,0.45442439875281593,-0.48632427468022765,1.4094522738858601,0.44346516911142353,-0.5073514044862477,1.4149863085054053,-8.19367494893121,-43.50124223060302,18.30325751983372,756.4985911988585,498.19075326447575,45.35805152163635,53.55172647056756,364,0.22,0.0,0.0,0.0,1,0.7141225140236299,0.5653795358254843,True,0.5667898201125138,0.7129718043897323,0.5636266008096085,True,0.565824477459042,105120,11.698611111111111,0.04657534246575343
entry_gate,W_VAL,U8,VOLMATCH_HOLD,36.5,0.02138271140000257,0.030136986301369864,0.007804689661000939,0.19833208233531516,0.5550547322417327,-0.41254354278402366,1.4792026037373123,0.5421010749976071,-0.43633781111977005,1.470085687829403,-3.270424026417807,-49.74901705299357,18.23039609176764,872.6193896350876,520.1610233567458,48.42796125454222,51.698385280960025,364,0.28,0.0,0.0,0.0,1,0.6858312730283018,0.5443187077146694,True,0.5443354273723191,0.6852397079670628,0.5446462214176779,True,0.5438158946923899,105120,20.12013888888889,0.0273972602739726
entry_gate,W_VAL,U8,VOLMATCH_HOLD,60.833333333333336,0.0129163343929988,0.019178082191780823,0.004714462053444562,0.16977964682094562,0.6816553267144199,-0.04194555885751674,1.441162562952884,0.6789539311857644,-0.047207329277450694,1.4412799212519247,-17.276226152351267,-52.587795047591975,3.8223347643455727,1067.7626655307333,553.6524134327831,30.857814381629208,48.134040533980475,364,0.35,0.0,0.0,0.0,1,0.6138007370542866,0.48624606377261537,True,0.4871657208785548,0.6135307003233338,0.4860216762608899,True,0.4869066150696854,105120,28.800925925925924,0.01643835616438356
