arm,window,universe,bench,hold_days,turnover_per_day,rebalances_per_day,implied_log_drag_total,mean_notional,gross_growth_diff,gross_growth_lo,gross_growth_hi,net_growth_diff,net_growth_lo,net_growth_hi,net_dd_diff,net_dd_lo,net_dd_hi,cand_final,bench_final,cand_dd,bench_dd,n_days,p_subarm,p_d,p_delta_in,p_delta_out,p_buffer,p_hold_days,p_k,volmatch_c_net,volmatch_vol_net,volmatch_matched_net,volmatch_shared_flag_net,cand_vol_net,volmatch_c_gross,volmatch_vol_gross,volmatch_matched_gross,volmatch_shared_flag_gross,cand_vol_gross,cand_final_gross,bench_final_gross,n_bars,tenure_days,membership_change_rate,membership_change_rate_thresholded,raw_turnover_per_day,membership_changes_per_day,span_days,config_kind,eval_bars,eval_days,forced_exit_total_warm,forced_exit_total_eval,forced_exit_per_day_r65,forced_exit_per_day_eval,entry_total_warm,entry_total_eval,entry_per_day_r65,entry_per_day_eval,swap_total_warm,swap_total_eval,swap_per_day_r65,swap_per_day_eval,blocked_by_timer_total_warm,blocked_by_timer_total_eval,blocked_by_timer_per_day_r65,blocked_by_timer_per_day_eval,blocked_by_buffer_total_warm,blocked_by_buffer_total_eval,blocked_by_buffer_per_day_r65,blocked_by_buffer_per_day_eval,flat_bars_total_warm,flat_bars_total_eval,flat_bars_per_day_r65,flat_bars_per_day_eval,flat_bar_frac_eval
band_decomposition,W_VAL,U8,VOLMATCH_HOLD,10.428571428571429,0.11341943059613906,0.1232876712328767,0.04139809216759076,0.5110737508654148,0.40853163391988667,-0.5768322136517516,1.3879610424643247,0.35511034942812136,-0.6457295222306796,1.3411050485475002,-4.234009121055486,-34.85251183923293,20.802309538392535,563.0725871344362,407.4538668824149,58.27699519750807,62.51100431856356,364,EXIT_ONLY,0.12,0.0,0.12,0.05,1,1,0.8798586158548274,0.6971936584262493,True,True,0.6983324244953037,0.8799044580968236,0.6971956886370736,True,True,0.6983045853302284,595.2472840096931,408.6784135734788,105120,9.264136904761905,0.0958904109589041,0.0958904109589041,0.11342050955836849,0.09589132316707731,364.99652777777777,grid,105120,365.0,8,7,0.021917808219178082,0.019178082191780823,9,8,0.024657534246575342,0.021917808219178082,21,20,0.057534246575342465,0.0547945205479452,269,269,0.736986301369863,0.736986301369863,4102,3857,11.238356164383562,10.567123287671233,54966,30414,150.5917808219178,83.32602739726028,0.28932648401826483
band_decomposition,W_VAL,U8,VOLMATCH_HOLD,12.586206896551724,0.10357472014301511,0.1095890410958904,0.03780477285220051,0.554240314910699,0.5865163510171623,-0.4680288164757233,1.5241570286973112,0.5500744038583991,-0.5191710379338045,1.498941203181714,-1.2505476831263778,-37.50236954639514,17.315940663485378,698.1666886261949,399.68549429804654,62.106727962493416,63.357275645619794,364,EXIT_ONLY,0.16,0.0,0.16,0.05,1,1,0.8950671589366352,0.7096370448184123,True,True,0.7104032487981853,0.8942949140305428,0.7087710948383185,True,True,0.7097250540766238,725.9902462825918,400.8126277013388,105120,10.74599358974359,0.07945205479452055,0.07945205479452055,0.10357570545223749,0.07945281062414977,364.99652777777777,grid,105120,365.0,4,4,0.010958904109589041,0.010958904109589041,5,4,0.0136986301369863,0.010958904109589041,22,21,0.06027397260273973,0.057534246575342465,269,269,0.736986301369863,0.736986301369863,4083,3838,11.186301369863013,10.515068493150684,48502,24654,132.88219178082193,67.54520547945205,0.23453196347031963
band_decomposition,W_VAL,U8,VOLMATCH_HOLD,13.035714285714286,0.10373930052387371,0.1095890410958904,0.03786484469121391,0.5820001947971924,0.4623817927187248,-0.48086854000122015,1.2690468610163939,0.42617084822189,-0.5346035746655813,1.241933510855788,3.4091229422347666,-29.035664745721057,16.186542417866924,605.6846654797314,392.62699987191644,67.12622619802758,63.717103255792814,364,EXIT_ONLY,0.22,0.0,0.22,0.05,1,1,0.905726300182244,0.7190869041556908,True,True,0.7188632715961117,0.9059777730280462,0.7192824282512374,True,True,0.7189967357150697,629.7221654204291,393.78095447785495,105120,11.281650641025642,0.07671232876712329,0.07671232876712329,0.10374028739875388,0.07671305853366185,364.99652777777777,grid,105120,365.0,3,3,0.00821917808219178,0.00821917808219178,4,3,0.010958904109589041,0.00821917808219178,23,22,0.06301369863013699,0.06027397260273973,269,269,0.736986301369863,0.736986301369863,4083,3838,11.186301369863013,10.515068493150684,44491,20643,121.89315068493151,56.556164383561644,0.1963755707762557
band_decomposition,W_VAL,U8,VOLMATCH_HOLD,13.035714285714286,0.10373930052387371,0.1095890410958904,0.03786484469121391,0.5854329496783516,0.29193878617166324,-0.6110723402292971,1.0656330759695933,0.2600111304599524,-0.6543791698441408,1.0381467271981701,7.972599559911615,-23.325923106877124,17.95416037091731,507.25746826545594,388.5048294848467,72.46840109793432,64.4958015380227,364,EXIT_ONLY,0.28,0.0,0.28,0.05,1,1,0.9234564650709401,0.7328877955952964,True,True,0.7329354745731723,0.9237521550764977,0.733105492897489,True,True,0.7331027359422889,527.4415827623802,391.365545055561,105120,11.350694444444445,0.07671232876712329,0.07671232876712329,0.10374028739875388,0.07671305853366185,364.99652777777777,grid,105120,365.0,3,3,0.00821917808219178,0.00821917808219178,4,3,0.010958904109589041,0.00821917808219178,23,22,0.06301369863013699,0.06027397260273973,269,269,0.736986301369863,0.736986301369863,4083,3838,11.186301369863013,10.515068493150684,43974,20126,120.47671232876712,55.13972602739726,0.19145738203957383
band_decomposition,W_VAL,U8,VOLMATCH_HOLD,13.035714285714286,0.10373930052387371,0.11232876712328767,0.03786484469121391,0.5903429232027178,0.12011848137405523,-0.7999501938516616,0.8991547170457692,0.08463190749365723,-0.8508418579976748,0.8707432572935119,12.106669355921639,-18.42047545260048,20.323553866917017,411.30339432125203,375.71875131634573,77.67634625817884,65.5696769022572,364,EXIT_ONLY,0.35,0.0,0.35,0.05,1,1,0.9473436931625626,0.7526926546726883,True,True,0.7518944591271718,0.9476144537358593,0.7529099565021813,True,True,0.7520401926366134,427.45910208153634,376.9633019287648,105120,11.446180555555555,0.07671232876712329,0.07671232876712329,0.10374028739875388,0.07671305853366185,364.99652777777777,grid,105120,365.0,3,3,0.00821917808219178,0.00821917808219178,4,3,0.010958904109589041,0.00821917808219178,23,22,0.06301369863013699,0.06027397260273973,269,269,0.736986301369863,0.736986301369863,4083,3838,11.186301369863013,10.515068493150684,43259,19411,118.51780821917808,53.18082191780822,0.18465563165905632
band_decomposition,W_VAL,U8,VOLMATCH_HOLD,0.6347826086956522,1.2301718112967828,1.5917808219178082,0.44901271112332575,0.408704161028632,0.5698726165217731,-0.3410775763235498,1.5492521788070897,0.14251410981774126,-0.8735455262093232,1.2281563715322839,-1.8213183038105498,-29.438281268525863,24.489953889162848,454.27509804392633,406.57999384321613,60.77115224745351,62.59247055126406,364,ENTRY_ONLY,0.0,0.0,0.0,0.05,1,1,0.8787941516698832,0.6971211317675089,True,True,0.6974875730138662,0.8596054792999431,0.6810568079727225,True,True,0.6821950295245424,722.2238486991034,421.6637484165168,105120,0.6823842592592593,1.5753424657534247,1.5753424657534247,1.230183513955781,1.5753574520305558,364.99652777777777,grid,105120,365.0,304,290,0.8328767123287671,0.7945205479452054,305,291,0.8356164383561644,0.7972602739726027,9,9,0.024657534246575342,0.024657534246575342,175,175,0.4794520547945205,0.4794520547945205,2295,2282,6.287671232876712,6.252054794520548,71954,46162,197.13424657534247,126.47123287671234,0.43913622526636226
band_decomposition,W_VAL,U8,VOLMATCH_HOLD,1.2852112676056338,0.5985093923170536,0.7945205479452054,0.21845592819572457,0.40214860541002895,0.4915211972878046,-0.3949373745230713,1.4495536865633616,0.2697930291805164,-0.6600264585591418,1.251030156984044,-7.96801323992544,-31.495931653049684,20.07886242964198,526.917971546465,415.1131221722978,54.18087317734495,62.14888641727039,364,ENTRY_ONLY,0.005,0.005,0.0,0.05,1,1,0.8705257603295161,0.6907918708481883,True,True,0.6909250575513283,0.8611493526499496,0.6818493863429651,True,True,0.6834202691850056,665.1106561554476,419.9913124308588,105120,1.344074074074074,0.7780821917808219,0.7780821917808219,0.598515085953716,0.7780895936985702,364.99652777777777,grid,105120,365.0,145,140,0.3972602739726027,0.3835616438356164,146,141,0.4,0.3863013698630137,9,9,0.024657534246575342,0.024657534246575342,176,176,0.4821917808219178,0.4821917808219178,2220,2207,6.082191780821918,6.046575342465753,72888,47056,199.6931506849315,128.92054794520547,0.4476407914764079
band_decomposition,W_VAL,U8,VOLMATCH_HOLD,2.0977011494252875,0.37531229216728945,0.4904109589041096,0.13698898664106066,0.3942504123680818,0.4933667835098935,-0.39438842887482556,1.4706325798319937,0.34532016027546963,-0.5604298489387636,1.3411065188819569,-12.68480424220381,-32.997441949632034,18.22170486374418,569.573239822546,416.04774466822056,49.3725766816865,62.057380923890314,364,ENTRY_ONLY,0.01,0.01,0.0,0.05,1,1,0.8686498538399531,0.6892983516514581,True,True,0.689436174788374,0.8632734107730283,0.6840590509810677,True,True,0.6851059516624668,662.6661142876824,417.708358179337,105120,2.104831560283688,0.4767123287671233,0.4767123287671233,0.3753158625236683,0.47671686374489863,364.99652777777777,grid,105120,365.0,86,85,0.2356164383561644,0.2328767123287671,87,86,0.23835616438356164,0.2356164383561644,8,8,0.021917808219178082,0.021917808219178082,178,178,0.4876712328767123,0.4876712328767123,2098,2086,5.747945205479452,5.715068493150685,73983,48138,202.6931506849315,131.8849315068493,0.4579337899543379
band_decomposition,W_VAL,U8,VOLMATCH_HOLD,3.1196581196581197,0.259681917428422,0.33424657534246577,0.09478389986137405,0.3793937251376274,0.41430366701468285,-0.43793938105606584,1.3828996791091264,0.3136686163186386,-0.5537056794005664,1.2938246201987134,-13.138342560036513,-31.917670715797136,17.93439820330527,549.3408213227838,414.2200225186282,49.08311085533306,62.221453415369574,364,ENTRY_ONLY,0.02,0.02,0.0,0.05,1,1,0.8718716623138382,0.6918651028459033,True,True,0.6919932825807912,0.8676365988510916,0.6884905406396974,True,True,0.6885686392457981,612.7480879209469,418.08627260265934,105120,2.8894675925925926,0.32054794520547947,0.32054794520547947,0.2596843877897975,0.320550994587087,364.99652777777777,grid,105120,365.0,58,57,0.1589041095890411,0.15616438356164383,59,58,0.16164383561643836,0.1589041095890411,8,8,0.021917808219178082,0.021917808219178082,178,178,0.4876712328767123,0.4876712328767123,1941,1929,5.317808219178082,5.284931506849315,76048,50197,208.35068493150686,137.52602739726026,0.47752092846270927
band_decomposition,W_VAL,U8,VOLMATCH_HOLD,5.887096774193548,0.14979494683486783,0.18356164383561643,0.05467515559472676,0.35366268466919126,0.5206314219664919,-0.47227884033921536,1.5821084966858052,0.4563080574832169,-0.5522621269608164,1.5254401694966904,-14.389273602474361,-39.66265494050797,20.17161861475063,652.8976632126734,426.46822804706926,46.580159862432225,60.96943346490659,364,ENTRY_ONLY,0.04,0.04,0.0,0.05,1,1,0.8458545012532767,0.6704140526886155,True,True,0.6713437977266195,0.8440675907373868,0.668942962961669,True,True,0.6698639420641476,699.5545571003139,428.8010557534294,105120,4.803678678678678,0.16986301369863016,0.16986301369863013,0.14979637183840516,0.16986462961025126,364.99652777777777,grid,105120,365.0,29,28,0.07945205479452055,0.07671232876712329,29,28,0.07945205479452055,0.07671232876712329,9,9,0.024657534246575342,0.024657534246575342,180,180,0.4931506849315068,0.4931506849315068,1441,1439,3.947945205479452,3.9424657534246577,80002,53932,219.18356164383562,147.75890410958905,0.5130517503805175
band_decomposition,W_VAL,U8,VOLMATCH_HOLD,11.774193548387096,0.07608799095285432,0.09315068493150686,0.027772116697791827,0.3174667137403061,0.870751786003475,-0.09428339404405786,1.8456039597581266,0.8480105491332919,-0.1319258959698905,1.8426403991847164,-21.30868157749275,-48.3948627803941,9.744812788681184,991.1291771139516,437.22520788269236,38.62005533086382,59.92873690835657,364,ENTRY_ONLY,0.08,0.08,0.0,0.05,1,1,0.8229601005992008,0.6544424852755089,True,True,0.653172807492473,0.8217369607392572,0.6546279983744304,True,True,0.6521420392171787,1019.680089191203,440.0377961087165,105120,8.407894736842104,0.08493150684931508,0.08493150684931507,0.07608871478004972,0.08493231480512563,364.99652777777777,grid,105120,365.0,12,12,0.03287671232876712,0.03287671232876712,12,12,0.03287671232876712,0.03287671232876712,7,7,0.019178082191780823,0.019178082191780823,0,0,0.0,0.0,879,879,2.408219178082192,2.408219178082192,85320,59112,233.75342465753425,161.95068493150686,0.5623287671232877
band_decomposition,W_VAL,U8,VOLMATCH_HOLD,16.59090909090909,0.05342035318454023,0.06575342465753424,0.019498428912357185,0.2756023299379678,0.8210105458258066,-0.12206769698331761,1.7902674985310418,0.803990489289053,-0.14849243096070955,1.7808977953959828,-17.502561452599494,-49.7425767537362,9.74189322389094,1009.8258551568953,464.9046939506878,39.656933470388935,57.15949492298843,364,ENTRY_ONLY,0.12,0.12,0.0,0.05,1,1,0.7856343307288788,0.6233009089668425,True,True,0.6235478258192851,0.7848376858720283,0.6230416573657995,True,True,0.6228582543720848,1030.3352320888157,466.68433304613757,105120,10.638621794871796,0.06027397260273973,0.06027397260273973,0.05342086137386077,0.06027454599073431,364.99652777777777,grid,105120,365.0,9,9,0.024657534246575342,0.024657534246575342,9,9,0.024657534246575342,0.024657534246575342,4,4,0.010958904109589041,0.010958904109589041,0,0,0.0,0.0,562,562,1.5397260273972602,1.5397260273972602,91497,65289,250.6767123287671,178.8739726027397,0.6210901826484019
band_decomposition,W_VAL,U8,VOLMATCH_HOLD,21.470588235294116,0.043681464482303346,0.052054794520547946,0.01594373453604072,0.2605419832865264,0.7217010588544766,-0.21453517065605684,1.6982143084011803,0.7083576955140019,-0.23765354247639142,1.6885213551807232,-14.621092008296877,-48.716307007975615,11.65532986992605,917.9600824975902,464.7773859734841,42.50429682444795,57.125388832744825,364,ENTRY_ONLY,0.16,0.16,0.0,0.05,1,1,0.7707836678715806,0.6116838246454293,True,True,0.6117610464303901,0.7697574629337706,0.6108355969502844,True,True,0.6108903768045992,933.3023811785525,466.61406322100186,105120,13.087152777777778,0.04657534246575343,0.04657534246575343,0.043681880025302065,0.046575785538294695,364.99652777777777,grid,105120,365.0,7,7,0.019178082191780823,0.019178082191780823,7,7,0.019178082191780823,0.019178082191780823,3,3,0.00821917808219178,0.00821917808219178,0,0,0.0,0.0,231,231,0.6328767123287671,0.6328767123287671,93637,67429,256.53972602739725,184.73698630136985,0.6414478691019787
band_decomposition,W_VAL,U8,VOLMATCH_HOLD,26.071428571428573,0.02904916398580368,0.0410958904109589,0.010602944854818344,0.2302251802324503,0.4719028458648309,-0.43384813982185405,1.4073470320479426,0.4686877895276803,-0.4352477615437414,1.405766347314179,-9.464528359347163,-44.06547269344445,16.744075577194536,779.9108814510373,500.6884182404268,43.66698008726308,53.13150844661024,364,ENTRY_ONLY,0.22,0.22,0.0,0.05,1,1,0.7069475744723058,0.560104576137335,True,True,0.5610951632185588,0.706507052191189,0.558763438715164,True,True,0.5606939589558959,788.5087185326945,504.9228019430683,105120,16.71279761904762,0.038356164383561646,0.038356164383561646,0.029049440331316727,0.038356529266830926,364.99652777777777,grid,105120,365.0,7,7,0.019178082191780823,0.019178082191780823,7,7,0.019178082191780823,0.019178082191780823,0,0,0.0,0.0,0,0,0.0,0.0,35,35,0.0958904109589041,0.0958904109589041,97635,71427,267.4931506849315,195.6904109589041,0.679480593607306
band_decomposition,W_VAL,U8,VOLMATCH_HOLD,36.5,0.02138271140000257,0.030136986301369864,0.007804689661000939,0.19833208233531516,0.5550547322417327,-0.41254354278402366,1.4792026037373123,0.5421010749976071,-0.43633781111977005,1.470085687829403,-3.270424026417807,-49.74901705299357,18.23039609176764,872.6193896350876,520.1610233567458,48.42796125454222,51.698385280960025,364,ENTRY_ONLY,0.28,0.28,0.0,0.05,1,1,0.6858312730283018,0.5443187077146694,True,True,0.5443354273723191,0.6852397079670628,0.5446462214176779,True,True,0.5438158946923899,879.8177471621977,518.0373137217468,105120,20.12013888888889,0.0273972602739726,0.0273972602739726,0.021382914814336802,0.027397520904879232,364.99652777777777,grid,105120,365.0,5,5,0.0136986301369863,0.0136986301369863,5,5,0.0136986301369863,0.0136986301369863,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,102355,76147,280.4246575342466,208.62191780821917,0.7243816590563166
band_decomposition,W_VAL,U8,VOLMATCH_HOLD,60.833333333333336,0.0129163343929988,0.019178082191780823,0.004714462053444562,0.16977964682094562,0.6816553267144199,-0.04194555885751674,1.441162562952884,0.6789539311857644,-0.047207329277450694,1.4412799212519247,-17.276226152351267,-52.587795047591975,3.8223347643455727,1067.7626655307333,553.6524134327831,30.857814381629208,48.134040533980475,364,ENTRY_ONLY,0.35,0.35,0.0,0.05,1,1,0.6138007370542866,0.48624606377261537,True,True,0.4871657208785548,0.6135307003233338,0.4860216762608899,True,True,0.4869066150696854,1072.8423741649174,555.1131671692867,105120,28.800925925925924,0.01643835616438356,0.01643835616438356,0.012916457266450725,0.01643851254292754,364.99652777777777,grid,105120,365.0,3,3,0.00821917808219178,0.00821917808219178,3,3,0.00821917808219178,0.00821917808219178,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,106444,80236,291.627397260274,219.82465753424657,0.7632800608828006
