window,population,horizon_days,n_events,n_events_nonoverlap,mean_fwd_log_ret,mean_fwd_lo,mean_fwd_hi,mean_fwd_nonoverlap,mean_fwd_nonoverlap_lo,mean_fwd_nonoverlap_hi,uncond_mean_fwd_log_ret,stopping_premium_flat,stopping_premium_flat_lo,stopping_premium_flat_hi,stopping_premium_rotate,stopping_premium_rotate_lo,stopping_premium_rotate_hi,p_negative,autocorr_h
PRE_HOLDOUT,all_assets,30.0,5006,166,0.013259013702976627,-0.03438961910838572,0.06115184124506826,0.029252634833652428,-0.06612060579731173,0.12282241993481623,0.011450767218616481,-0.013259013702976627,-0.06115184124506826,0.03438961910838572,0.010314584837637877,-0.002314634005789098,0.024068583489252036,0.5035956851777866,0.1326231737496709
PRE_HOLDOUT,incumbent,0.25,549,225,0.0004291679321797805,-0.003743286230971218,0.005249631543416402,0.0010855227295633325,-0.0029958548717315832,0.006192243818881159,0.00011888876719883393,-0.0004291679321797805,-0.005249631543416402,0.003743286230971218,-0.0009260319347284546,-0.003704850971612724,0.001875412964962984,0.51183970856102,-0.02354341560146463
PRE_HOLDOUT,incumbent,0.5,548,180,0.0009435627034318462,-0.0039879068189899326,0.0061368627144909454,0.00046391113876185033,-0.0028740013267217934,0.00389131550443628,0.0002383061197248694,-0.0009435627034318462,-0.0061368627144909454,0.0039879068189899326,-0.0019158439355638403,-0.006429836988902205,0.002271476473248319,0.48905109489051096,-0.014300224373809687
PRE_HOLDOUT,incumbent,1.0,548,138,0.005036216750514752,-0.003654555559937044,0.013837116364957432,0.0009259012844157014,-0.006546607337996953,0.009645469243281935,0.0004759143460063088,-0.005036216750514752,-0.013837116364957432,0.003654555559937044,-0.0008755776927619101,-0.007051706670796392,0.00529128438876992,0.4197080291970803,-0.07844988133807565
PRE_HOLDOUT,incumbent,2.0,548,114,0.008626594733241698,-0.0029950927143963016,0.022532818125914802,-0.001360560164483653,-0.014026717244738687,0.01126472124186621,0.0008998023407115577,-0.008626594733241698,-0.022532818125914802,0.0029950927143963016,-0.0030189260696566527,-0.013850450329309717,0.006595555356018107,0.4562043795620438,-0.01935222739762783
PRE_HOLDOUT,incumbent,3.0,542,97,0.004595416219271419,-0.019989025165545342,0.02949090985422111,0.005210583989299817,-0.009741410751121662,0.02233021700496229,0.001316510388800527,-0.004595416219271419,-0.02949090985422111,0.019989025165545342,-0.003673821784666498,-0.021669867107126716,0.012914473005877088,0.477859778597786,0.02305006789934207
PRE_HOLDOUT,incumbent,5.0,533,82,-0.009526847873369574,-0.03897379066342123,0.019497933081768656,-0.010592393136646965,-0.03313263417971169,0.010735759984474921,0.0022061958497725112,0.009526847873369574,-0.019497933081768656,0.03897379066342123,-0.002611312547646731,-0.019904332226481372,0.015723366305625038,0.4878048780487805,0.05893001123301583
PRE_HOLDOUT,incumbent,7.0,533,73,-0.011027700739032245,-0.041215757269765854,0.020669304705271535,1.0757605452796806e-05,-0.03452326889460701,0.035744133919005563,0.0029559048458112857,0.011027700739032245,-0.020669304705271535,0.041215757269765854,-0.0038224777971371726,-0.02882967748111041,0.019382375859688435,0.551594746716698,-0.037998378758270425
PRE_HOLDOUT,incumbent,10.0,516,66,-0.020995282650688653,-0.06659406754054241,0.027878802698538437,-0.006494618715385351,-0.03971624412781268,0.027512807153035824,0.0039053532221553257,0.020995282650688653,-0.027878802698538437,0.06659406754054241,-0.001273885524225558,-0.036017444691899075,0.028886962586777917,0.6182170542635659,-0.022166170722130125
PRE_HOLDOUT,incumbent,14.0,498,62,-0.03543192909262283,-0.09627617958254601,0.03216948387282659,0.017754664688606325,-0.024294687497379525,0.06536646839543765,0.005331195762549659,0.03543192909262283,-0.03216948387282659,0.09627617958254601,0.005324971768513353,-0.04028746955850922,0.0456908021061487,0.6666666666666666,-0.06131044041380729
