trial,market,strategy,return_pct,max_dd_pct,vol,c,liquidated
17,spot,buy_and_hold,-36.72315757266392,63.497424523682,0.7479442610599026,,False
17,spot,kelly_regime_v4,-0.5412050709015293,15.29278688364176,0.20798406227741653,,False
17,spot,vol-matched rebalanced c=0.353,-12.575507330651881,28.40547666968984,0.26405775955213967,,False
17,spot,vol-matched static     c=0.293,-10.758771839946712,21.608090371766554,0.17131388533767844,,False
17,spot,notional-matched reb.  c=0.283,-10.486991113883725,23.86335763989843,0.21064607227468163,,False
17,spot,per-window matched hold,-10.321183816457303,23.522366532047954,0.20726916097229428,0.27817970606314196,False
17,futures,buy_and_hold,-98.19548021356783,99.18900418193272,2.217286792975401,,True
17,futures,kelly_regime_v4,-3.82280488933332,15.845852964403997,0.18503255997260015,,False
17,futures,vol-matched rebalanced c=0.353,-12.572998320698137,28.40151904976195,0.2638879673088502,,False
17,futures,vol-matched static     c=0.293,-10.728005664925423,21.574872849968866,0.17101205197297673,,False
17,futures,notional-matched reb.  c=0.283,-10.463021223931257,23.85642787614837,0.21064170250361774,,False
17,futures,per-window matched hold,-8.678373778120196,21.250790082637533,0.1840566305765013,0.24748596865136369,False
18,spot,buy_and_hold,235.68767445011733,84.06746333086511,0.9980447188943985,,False
18,spot,kelly_regime_v4,303.5451073797794,42.97544326073444,0.38952249601820427,,False
18,spot,vol-matched rebalanced c=0.353,85.80670566692513,42.03147524671145,0.3530976248151783,,False
18,spot,vol-matched static     c=0.293,69.0493433163816,59.49113065020878,0.5142503280635682,,False
18,spot,notional-matched reb.  c=0.283,67.66690173490417,34.63968769197865,0.28140772750552534,,False
18,spot,per-window matched hold,92.14974386416415,46.23371070462191,0.38833997777937035,0.3903579961944834,False
18,futures,buy_and_hold,1176.9183202652255,97.39114718918447,2.0017093968033386,,False
18,futures,kelly_regime_v4,379.1399149321203,34.63265633016196,0.39845808902578367,,False
18,futures,vol-matched rebalanced c=0.353,86.09608605988545,41.982893251427086,0.3530799706120246,,False
18,futures,vol-matched static     c=0.293,68.96027748666364,59.45056889067041,0.5137058186908497,,False
18,futures,notional-matched reb.  c=0.283,67.89444880834101,34.59635644301994,0.28140204590740336,,False
18,futures,per-window matched hold,100.31306296547173,46.093745271884494,0.39738108415887946,0.3993203010499755,False
19,spot,buy_and_hold,181.54129230385806,32.54338558426089,0.5047239916289982,,False
19,spot,kelly_regime_v4,136.415385211283,23.470842453546776,0.35170790399686946,,False
19,spot,vol-matched rebalanced c=0.353,51.960002898735944,12.303586071573147,0.18036082998324318,,False
19,spot,vol-matched static     c=0.293,53.18609489289074,18.91247462512457,0.238629243552245,,False
