split,market,arm,c,final,vol,max_dd,sharpe,fills,fees,clamp,liquidated,mean_notional
inner-train,futures,buy_and_hold,,18.045197864321608,1.1329473545653532,99.04920966351584,-0.2911322998932312,2,4.498771984924623,0.0,True,
inner-train,futures,kelly_regime_v4,,30344.108288477895,0.410756326999965,35.292685151373476,2.2840027444869664,261,280.3445730782431,0.0,False,0.4289267605191894
inner-train,futures,rebalanced_hold,0.1,1611.4545750516493,0.0933675309022206,13.331641944761996,1.3251416465200085,225,1.5767450344901126,0.0,False,
inner-train,futures,rebalanced_hold,0.15,2046.7707381807038,0.1400980191862859,19.503457075069353,1.3490809031990438,214,2.54412786273625,0.0,False,
inner-train,futures,rebalanced_hold,0.2,2515.4085088717347,0.18598669319976632,26.231058348797458,1.333780780700862,182,3.2078352529334286,0.0,False,
inner-train,futures,rebalanced_hold,0.3,3959.0038547611525,0.27994329259415707,35.49178984113849,1.3696661429710646,156,5.474323130013841,0.0,False,
inner-train,futures,rebalanced_hold,0.4,6010.37162824338,0.3734147665885241,46.82026788795856,1.3883300641193244,122,7.048397526039374,0.0,False,
inner-train,futures,rebalanced_hold,0.5,8375.829540972507,0.4674905916816574,55.467155811283654,1.3712297133477886,81,7.272190267494592,0.0,False,
inner-train,futures,rebalanced_hold,0.65,12956.88992625308,0.610552798888559,67.19940875130989,1.3551475373149044,37,5.967916364196063,0.0,False,
inner-train,futures,rebalanced_hold,0.8,19514.48327773882,0.7615928795541894,76.48792709901956,1.3571449882993336,11,2.746321786854276,0.0,False,
inner-train,futures,rebalanced_hold,1.0,29823.414937134676,0.931404880858841,84.068253329954,1.3781349796855913,1,0.49984426425241657,0.0,False,
inner-train,futures,static_hold,0.1,3876.031441792506,0.42015805225889813,58.304939243364416,1.016846061573782,1,0.049875,0.0,False,
inner-train,futures,static_hold,0.15,5314.047162688758,0.513469680749383,65.76796065697523,1.070665029351045,1,0.07481249999999999,0.0,False,
inner-train,futures,static_hold,0.2,6752.062883585012,0.5807491321491682,70.26490827300886,1.113205402315325,1,0.09975,0.0,False,
inner-train,futures,static_hold,0.3,9628.094325377517,0.6740917221227377,75.42195719495159,1.177662063310519,1,0.14962499999999998,0.0,False,
inner-train,futures,static_hold,0.4,12504.125767170024,0.738032379000432,78.29516965761727,1.2254341903637738,1,0.1995,0.0,False,
inner-train,futures,static_hold,0.5,15380.157208962532,0.7860968075743935,80.12663238265529,1.263022272166809,1,0.249375,0.0,False,
inner-train,futures,static_hold,0.65,19694.204371651293,0.8411836515638735,81.89494108043488,1.307196650170327,1,0.3241875000000001,0.0,False,
inner-train,futures,static_hold,0.8,24008.25153434005,0.884238692610273,83.04032277709014,1.341687115053962,1,0.399,0.0,False,
inner-train,futures,static_hold,1.0,29760.314417925063,0.9309395812010709,84.05922055683826,1.3777871907819395,1,0.49875,0.0,False,
inner-validation,spot,buy_and_hold,,574.1345456301619,0.8256420623327766,77.33138103958527,0.07624874577383432,1,0.9990000000000001,0.0,False,
inner-validation,spot,kelly_regime_v4,,997.9766056680674,0.2908298308870495,33.182451194599295,0.14197016126879083,256,70.4363727711681,0.022647925964382504,False,0.28280711430466865
inner-validation,spot,rebalanced_hold,0.1,1000.5962112844604,0.08250301648226527,12.112590210352055,0.044871709048188775,93,1.11483642598962,0.0,False,
inner-validation,spot,rebalanced_hold,0.15,998.7825041362692,0.12375951309186017,17.688178082600093,0.05694866842255833,87,1.5920846179725672,0.0,False,
inner-validation,spot,rebalanced_hold,0.2,994.5658607381631,0.16536990081796726,22.578341372651707,0.0661776630376805,80,2.0087559790872733,0.0,False,
inner-validation,spot,rebalanced_hold,0.3,962.2591282864366,0.24791425936528153,32.444873405457095,0.04621159813213067,55,2.249612232067775,0.0,False,
inner-validation,spot,rebalanced_hold,0.4,929.3103567324185,0.3301910977988923,42.34077575928024,0.053863178904850206,43,2.482070471778551,0.0,False,
inner-validation,spot,rebalanced_hold,0.5,868.1202511041656,0.4119859740123608,49.0586759686856,0.034029803184986836,27,2.1728467923799957,0.0,False,
inner-validation,spot,rebalanced_hold,0.65,814.4682184882558,0.5364772923037084,59.64678631837198,0.07664034884188269,17,2.0072372946782204,0.0,False,
inner-validation,spot,rebalanced_hold,0.8,725.4665000518842,0.6619468838922592,67.92346019943321,0.08815828476074461,7,1.4402654060527789,0.0,False,
inner-validation,spot,rebalanced_hold,1.0,574.1345456301619,0.8256420623327766,77.33138103958527,0.07624874577383432,1,0.9990000000000001,0.0,False,
inner-validation,spot,static_hold,0.1,957.4134545630161,0.10887715772427119,16.192049568675003,-0.14582305255745384,1,0.0999,0.0,False,
inner-validation,spot,static_hold,0.15,936.1201818445243,0.15948302632714875,22.896654368999943,-0.12762297706721007,1,0.14985,0.0,False,
inner-validation,spot,static_hold,0.2,914.8269091260324,0.2079297937033753,28.874693374715132,-0.11051371834939464,1,0.1998,0.0,False,
inner-validation,spot,static_hold,0.3,872.2403636890485,0.2992867283334537,39.07730390552158,-0.07913871974388821,1,0.2997,0.0,False,
inner-validation,spot,static_hold,0.4,829.6538182520648,0.3845405422235482,47.46253091878507,-0.050975995304059614,1,0.3996,0.0,False,
inner-validation,spot,static_hold,0.5,787.067272815081,0.46493645353714985,54.4762559273686,-0.025466714342410053,1,0.49950000000000006,0.0,False,
inner-validation,spot,static_hold,0.65,723.1874546596052,0.5786044777875012,63.08091617961017,0.008790771115897435,1,0.6493500000000001,0.0,False,
inner-validation,spot,static_hold,0.8,659.3076365041295,0.6864679641401729,69.99038878064965,0.039343218725848464,1,0.7992,0.0,False,
inner-validation,spot,static_hold,1.0,574.1345456301619,0.8256420623327766,77.33138103958527,0.07624874577383432,1,0.9990000000000001,0.0,False,
