strategy,market,start_balance,final_balance,profit,profit_pct,num_trades,win_rate_pct,best_trade,worst_trade,avg_trade,max_drawdown_pct,sharpe,time_in_market_pct,fees_paid,liquidated,data,cell,asset,start,end,days,fee_rate,slippage_bps,min_notional,funding_paid,funding_model,fills,fills_per_day,completed_round_trips,round_trips_per_day,active_days_pct,daily_sharpe,annualized_volatility,mean_abs_exposure,decision_requests
kelly_regime_v4,spot,1000.0,13296.41332472909,12296.41332472909,1229.6413324729092,73,12.5,7627.491029407777,-193.18421749291116,168.44401814697386,48.869256810647116,1.8230951956607695,67.69407369381702,1643.356226015642,False,Bitstamp BTC spot,inner_train,spot,2017-01-01 00:00:00+00:00,2020-12-31 23:55:00+00:00,1461.0,0.004,1.0,10.0,0.0,not charged,469,0.3210130047912389,72,0.049281314168377825,19.71252566735113,1.8763867289583238,0.3836983715067277,0.39668688142015796,519
kelly_regime_v4,spot,1000.0,868.8281668632295,-131.1718331367705,-13.11718331367705,52,7.6923076923076925,283.4154901915708,-43.08063646039831,-2.522535252630232,42.640041466403545,-0.08444808088766498,56.079242770167426,275.5632212158679,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,259,0.3547945205479452,52,0.07123287671232877,21.36986301369863,-0.07684920643700294,0.3060205926488176,0.29162076393557135,269
r190_base_b05,futures_5x,1000.0,992.904217171686,-7.095782828313986,-0.7095782828314023,31,12.903225806451612,375.0084600430925,-151.89407968872146,4.572012847247421,41.21081100908813,0.16934041545329587,54.45205479452055,25.50324268912556,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,148.82818109298518,Deribit 8h aggregation,114,0.15616438356164383,31,0.04246575342465753,12.465753424657533,0.14714120891752472,0.3160453875097277,0.3186004840619387,1127
r190_base_b05,spot,1000.0,10156.618424462007,9156.618424462007,915.6618424462007,47,13.043478260869565,5837.101940790661,-282.53293562645285,194.82166860557462,51.653717914666075,1.702349509988394,67.43074568408244,1079.5804223545542,False,Bitstamp BTC spot,inner_train,spot,2017-01-01 00:00:00+00:00,2020-12-31 23:55:00+00:00,1461.0,0.004,1.0,10.0,0.0,not charged,398,0.2724161533196441,46,0.03148528405201916,21.013004791238878,1.7873549567779603,0.3604159238729542,0.40727598417572114,1229
r190_base_b05,spot,1000.0,911.3859280456983,-88.61407195430172,-8.861407195430171,32,12.5,279.88800656388725,-167.16060899548603,-2.7691897485719363,45.65830096764758,0.032853648267460255,54.24657534246575,228.88895055784286,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,182,0.2493150684931507,32,0.043835616438356165,20.82191780821918,0.01233929380472952,0.31716761532132676,0.31714847026450665,298
r190_base_b10,futures_5x,1000.0,992.904217171686,-7.095782828313986,-0.7095782828314023,31,12.903225806451612,375.0084600430925,-151.89407968872146,4.572012847247421,41.21081100908813,0.16934041545329587,54.45205479452055,25.50324268912556,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,148.82818109298518,Deribit 8h aggregation,114,0.15616438356164383,31,0.04246575342465753,12.465753424657533,0.14714120891752472,0.3160453875097277,0.3186004840619387,762
r190_base_b10,spot,1000.0,10221.012670076665,9221.012670076665,922.1012670076665,47,13.043478260869565,5915.08882055315,-280.544771077434,196.19175893780135,49.642674637530064,1.709091138641331,67.43074568408244,1034.0984479089948,False,Bitstamp BTC spot,inner_train,spot,2017-01-01 00:00:00+00:00,2020-12-31 23:55:00+00:00,1461.0,0.004,1.0,10.0,0.0,not charged,339,0.23203285420944558,46,0.03148528405201916,17.796030116358658,1.7978133545825103,0.3589066838733626,0.4049462802069078,1019
r190_base_b10,spot,1000.0,903.3771351267194,-96.6228648732806,-9.662286487328064,32,12.5,272.98881092001693,-166.25953504253584,-3.0194645272900074,45.41937308583255,0.015605829223434793,54.24657534246575,220.66266916470298,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,162,0.2219178082191781,32,0.043835616438356165,18.63013698630137,-0.007782447471074372,0.31095847200223464,0.31280223528295276,269
r190_base_b20,futures_5x,1000.0,1000.2726637302219,0.2726637302218933,0.02726637302219448,27,14.814814814814815,377.7914372417376,-173.77100443270857,5.534508558902784,41.21081100908825,0.17949295852615874,52.76255707762557,24.82368023131061,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,149.15906736015225,Deribit 8h aggregation,105,0.14383561643835616,27,0.036986301369863014,11.643835616438356,0.15866702221660026,0.31567783570082714,0.3155122493510928,235
r190_base_b20,spot,1000.0,11446.394319359912,10446.394319359912,1044.6394319359913,39,15.789473684210526,6844.044569866043,-303.547199893221,267.85626459897213,48.986216700582716,1.740961569629572,64.82978743630694,882.0455435159378,False,Bitstamp BTC spot,inner_train,spot,2017-01-01 00:00:00+00:00,2020-12-31 23:55:00+00:00,1461.0,0.004,1.0,10.0,0.0,not charged,193,0.13210130047912388,38,0.026009582477754964,11.498973305954825,1.8294858297738608,0.37037991024819233,0.4037498969703182,617
