strategy,cell,control,reference,risk_valid,control_to_candidate_vol,days,sharpe,control_sharpe,d_sharpe,d_sharpe_lo,d_sharpe_hi,growth,control_growth,d_growth,d_growth_lo,d_growth_hi,drawdown,control_drawdown,d_drawdown,d_drawdown_lo,d_drawdown_hi
r190_v4_b10,funded_val,parent,kelly_regime_v4,True,1.0424644335137032,730,0.14983881712202204,0.11720806225776201,0.032630754864260036,-0.2940743169863091,0.2809364927183911,0.00531831512173736,-0.017598196801888233,0.022916511923625593,-0.1352876473097251,0.18590505644502334,35.198945886262756,33.78851125662099,1.4104346296417631,-7.81949558915153,6.299971763753448
r190_v4_b10,funded_val,matched_hold,match_r190_v4_b10_funded_val_i1,True,1.002109414907648,730,0.14983881712202204,-0.08402220690441242,0.23386102402643447,-0.6039648072069138,0.9189901806338047,0.00531831512173736,-0.1279739405021157,0.13329225562385305,-0.29525562771682146,0.5698074021978536,35.198945886262756,40.26034634216975,-5.061400455906991,-23.578115390743495,13.454347648562807
r190_v4_b20,funded_val,parent,kelly_regime_v4,False,1.0763198178119506,730,0.2439040291613539,0.11720806225776201,0.1266959669035919,-0.22585101791473255,0.43764215180358323,0.0591935894754837,-0.017598196801888233,0.07679178627737193,-0.10455023825229924,0.2586561712240031,35.19894588626292,33.78851125662099,1.4104346296419266,-11.410575592579441,5.074081650358633
r190_v4_b20,funded_val,matched_hold,match_r190_v4_b20_funded_val_i1,True,1.0000906174677988,730,0.2439040291613539,-0.09264006913007126,0.3365440982914252,-0.4955436306996885,1.035288830796255,0.0591935894754837,-0.12582843574122585,0.18502202521670955,-0.2317755576613065,0.6142018361164645,35.19894588626292,39.33675022323996,-4.137804336977041,-24.30910051966039,12.090665255211961
r190_v3_b05,funded_val,parent,kelly_regime_v3,True,1.0330512335257611,730,0.14418834755462848,0.07741410817196522,0.06677423938266326,-0.2904516712517427,0.40419451376357035,0.0040557504207676676,-0.03687318487522384,0.04092893529599151,-0.14421650643918682,0.2466688232143673,33.79889391493073,35.56446890490986,-1.7655749899791289,-9.389609724023424,7.391369736784645
r190_v3_b05,funded_val,matched_hold,match_r190_v3_b05_funded_val_i1,True,1.0001700372671625,730,0.14418834755462848,-0.09119502086188196,0.23538336841651042,-0.6847099822242371,0.9747565391554259,0.0040557504207676676,-0.12639020165019055,0.13044595207095822,-0.3224797989189712,0.5643522865402469,33.79889391493073,39.54171329724729,-5.742819382316561,-22.778661044853404,15.806899728333846
r190_v3_b10,funded_val,parent,kelly_regime_v3,True,1.0330512335257611,730,0.14418834755462848,0.07741410817196522,0.06677423938266326,-0.2904516712517427,0.40419451376357035,0.0040557504207676676,-0.03687318487522384,0.04092893529599151,-0.14421650643918682,0.2466688232143673,33.79889391493073,35.56446890490986,-1.7655749899791289,-9.389609724023424,7.391369736784645
r190_v3_b10,funded_val,matched_hold,match_r190_v3_b10_funded_val_i1,True,1.0001700372671625,730,0.14418834755462848,-0.09119502086188196,0.23538336841651042,-0.6847099822242371,0.9747565391554259,0.0040557504207676676,-0.12639020165019055,0.13044595207095822,-0.3224797989189712,0.5643522865402469,33.79889391493073,39.54171329724729,-5.742819382316561,-22.778661044853404,15.806899728333846
r190_v3_b20,funded_val,parent,kelly_regime_v3,False,1.0789649475447207,730,0.2024838166990364,0.07741410817196522,0.12506970852707117,-0.27199606648634034,0.5004796906985338,0.03782177721206609,-0.03687318487522384,0.07469496208728993,-0.11914281335083292,0.283548719911343,31.771540500129152,35.56446890490986,-3.7929284047807066,-11.3209055133867,6.577774344054627
r190_v3_b20,funded_val,matched_hold,match_r190_v3_b20_funded_val_i1,True,0.9989294135725167,730,0.2024838166990364,-0.08798511381112516,0.29046893051016154,-0.6501904197006779,1.0190702371982554,0.03782177721206609,-0.11598846633991702,0.1538102435519831,-0.28253633723954613,0.5692478909355033,31.771540500129152,38.315180325135316,-6.543639825006164,-22.20549448106222,15.172596850793054
r190_base_b05,funded_val,parent,kelly_regime,True,0.9758756645848041,730,0.1471412089175292,0.10518287196320249,0.0419583369543267,-0.28933257898633574,0.3738772589707444,-0.007121077623893468,-0.03099967798851677,0.023878600364623304,-0.19468067318280102,0.25252360703804744,40.17381816704081,40.261425137291845,-0.08760697025103781,-8.268569786438373,9.429404123247359
r190_base_b05,funded_val,matched_hold,match_r190_base_b05_funded_val_i1,True,1.0022862392067968,730,0.1471412089175292,-0.062111443516906076,0.20925265243443525,-0.6265711542845439,0.9370127646107189,-0.007121077623893468,-0.13950148192063744,0.13238040429674397,-0.3730055615654969,0.6092833610772111,40.17381816704081,43.12060267561598,-2.9467845085751705,-21.063653337046688,17.585252577645353
r190_base_b10,funded_val,parent,kelly_regime,True,0.9758756645848041,730,0.1471412089175292,0.10518287196320249,0.0419583369543267,-0.28933257898633574,0.3738772589707444,-0.007121077623893468,-0.03099967798851677,0.023878600364623304,-0.19468067318280102,0.25252360703804744,40.17381816704081,40.261425137291845,-0.08760697025103781,-8.268569786438373,9.429404123247359
r190_base_b10,funded_val,matched_hold,match_r190_base_b10_funded_val_i1,True,1.0022862392067968,730,0.1471412089175292,-0.062111443516906076,0.20925265243443525,-0.6265711542845439,0.9370127646107189,-0.007121077623893468,-0.13950148192063744,0.13238040429674397,-0.3730055615654969,0.6092833610772111,40.17381816704081,43.12060267561598,-2.9467845085751705,-21.063653337046688,17.585252577645353
r190_base_b20,funded_val,parent,kelly_regime,True,0.9770119016759633,730,0.15866702221660145,0.10518287196320249,0.05348415025339896,-0.29474740182233455,0.3969578772550245,0.0002726265642231107,-0.03099967798851677,0.03127230455273988,-0.19431885576532396,0.2619195708552775,40.17381816704098,40.261425137291845,-0.08760697025086728,-8.477010267331444,10.006157019446722
r190_base_b20,funded_val,matched_hold,match_r190_base_b20_funded_val_i1,True,1.0022811966374274,730,0.15866702221660145,-0.06208402601081049,0.22075104822741193,-0.6333490718622745,0.9621056050324234,0.0002726265642231107,-0.13920418687075242,0.13947681343497553,-0.3766854222074483,0.631728714879515,40.17381816704098,43.08051395112353,-2.906695784082551,-21.513966670386857,18.43918815990591
r190_blend_b10,funded_val,parent,kelly_regime_v4,True,1.021236266950846,730,-0.07417421941918437,0.11720806225776201,-0.19138228167694638,-0.6107233457360951,0.24118290119799246,-0.1259732786695863,-0.017598196801888233,-0.10837508186769806,-0.3387562495764512,0.15144427829110543,38.00571961154818,33.78851125662099,4.2172083549271875,-5.9809620317054,14.174717171040264
r190_blend_b10,funded_val,matched_hold,match_r190_blend_b10_funded_val_i1,True,0.999818894926584,730,-0.07417421941918437,-0.0662838753684806,-0.007890344050703768,-0.8518416715606802,0.6846480484796893,-0.1259732786695863,-0.12159375699306912,-0.004379521676517173,-0.4486647624253392,0.4332685482449787,38.00571961154818,40.86183090743127,-2.856111295883089,-17.882555996466703,18.473064077050605
r190_v4_b05,holdout,parent,kelly_regime_v4,True,1.0163089332233088,1320,0.8862696667610687,0.9308772114456563,-0.04460754468458761,-0.1789830555993268,0.06473994373239887,0.8349125386278463,0.8976169655237836,-0.06270442689593725,-0.21764079907739498,0.06730890128586178,31.368099984071346,32.72062838368928,-1.3525283996179347,-3.4570605757945536,5.104435545717673
r190_v4_b05,holdout,matched_hold,match_r190_v4_b05_holdout_i1,True,1.0065827266546516,1320,0.8862696667610687,1.0148411309744034,-0.12857146421333476,-0.741857171346063,0.4517878430309505,0.8349125386278463,0.9862100673456837,-0.15129752871783742,-0.7927227694101827,0.5425636367989467,31.368099984071346,38.59629991390141,-7.228199929830065,-16.5335137133071,21.31259453368181
r190_v4_b10,holdout,parent,kelly_regime_v4,True,1.0171409620662506,1320,0.893941990019334,0.9308772114456563,-0.03693522142632222,-0.17400991027742763,0.0763801843260042,0.8431484815403467,0.8976169655237836,-0.054468483983436844,-0.21180252600454538,0.08176229966044345,31.59375052076469,32.72062838368928,-1.1268778629245908,-3.460108477115065,4.938184733874201
r190_v4_b10,holdout,matched_hold,match_r190_v4_b10_holdout_i1,True,1.0066385984622626,1320,0.893941990019334,1.0140951067668553,-0.12015311674752127,-0.7168729643335703,0.45746353658721933,0.8431484815403467,0.9847300651551048,-0.14158158361475803,-0.7902489596032126,0.5577722368973589,31.59375052076469,38.60502933330529,-7.011278812540599,-16.574671000083228,21.31695053508159
r190_v4_b20,holdout,parent,kelly_regime_v4,True,1.0157226967327329,1320,0.9174446482019832,0.9308772114456563,-0.013432563243673035,-0.16160695578486414,0.11757202856775785,0.8709845774734207,0.8976169655237836,-0.026632388050362832,-0.19662953848425344,0.1234328238101471,32.01422316820435,32.72062838368928,-0.7064052154849279,-3.776990384580742,4.929534039220406
r190_v4_b20,holdout,matched_hold,match_r190_v4_b20_holdout_i1,True,1.0069238497639053,1320,0.9174446482019832,1.014597284042054,-0.09715263584007083,-0.713552174566089,0.49865721557561044,0.8709845774734207,0.9866662424641356,-0.11568166499071486,-0.7710769967649691,0.5985184958863031,32.01422316820435,38.61492870841338,-6.600705540209027,-16.49115222081625,21.388564877358373
