strategy,market,start_balance,final_balance,profit,profit_pct,num_trades,win_rate_pct,best_trade,worst_trade,avg_trade,max_drawdown_pct,sharpe,time_in_market_pct,fees_paid,liquidated,data,cell,asset,start,end,days,fee_rate,slippage_bps,min_notional,funding_paid,funding_model,fills,fills_per_day,completed_round_trips,round_trips_per_day,active_days_pct,daily_sharpe,annualized_volatility,mean_abs_exposure,decision_requests,reference_candidate,control_c,match_attempt,stage,target_daily_volatility,achieved_daily_volatility,relative_vol_error,matched_valid,final_selected
match_r190_v3_b10_funded_val_i0,futures_5x,1000.0,830.7162613217865,-169.28373867821347,-16.928373867821346,1,0.0,-67.29243280033148,-67.29243280033148,-67.29243280033148,49.217620782934745,-0.013011270110329562,99.99952435312025,1.215268142742362,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,101.99130587788268,Deribit 8h aggregation,33,0.045205479452054796,0,0.0,4.2465753424657535,-0.07003886434884987,0.3666113554390658,0.5041466038805399,33,r190_v3_b10,0.5,0,train,0.014442549273178939,0.019182747063595195,0.3282106019343284,False,False
match_r190_v3_b10_funded_val_i1,futures_5x,1000.0,881.270906322798,-118.72909367720194,-11.872909367720197,1,0.0,-47.145775317649935,-47.145775317649935,-47.145775317649935,40.40399970924452,-0.0438913281791667,99.99952435312025,1.1519351008004142,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,71.58331835955423,Deribit 8h aggregation,44,0.06027397260273973,0,0.0,5.7534246575342465,-0.09119502086188329,0.2760659284740338,0.37872349544016776,44,r190_v3_b10,0.37644632505705733,1,train,0.014442549273178939,0.01444500504478822,0.000170037267163244,True,True
match_r190_v3_b10_inner_val_i0,spot,1000.0,864.1271390351665,-135.87286096483354,-13.587286096483354,1,0.0,-135.87286096483354,-135.87286096483354,-135.87286096483354,49.13399121172731,0.028510957343515587,99.99952435312025,8.682566673504143,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,27,0.036986301369863014,0,0.0,3.6986301369863015,-0.01221935446376827,0.37031438525624927,0.5001103624774786,27,r190_v3_b10,0.5,0,train,0.015293265656149748,0.019376506158337116,0.2669959833297874,False,False
match_r190_v3_b10_inner_val_i1,spot,1000.0,921.3200388885282,-78.67996111147181,-7.86799611114718,1,0.0,-78.6799611114717,-78.6799611114717,-78.6799611114717,41.700719190074736,0.0374078877432822,99.99952435312025,9.727614291123325,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,43,0.0589041095890411,0,0.0,5.616438356164384,0.006493329813350885,0.2930531326569134,0.3988408024243835,43,r190_v3_b10,0.3946342423959008,1,train,0.015293265656149748,0.015333851602112022,0.0026538443047286167,True,True
match_r190_v3_b20_funded_val_i0,futures_5x,1000.0,830.7162613217865,-169.28373867821347,-16.928373867821346,1,0.0,-67.29243280033148,-67.29243280033148,-67.29243280033148,49.217620782934745,-0.013011270110329562,99.99952435312025,1.215268142742362,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,101.99130587788268,Deribit 8h aggregation,33,0.045205479452054796,0,0.0,4.2465753424657535,-0.07003886434884987,0.3666113554390658,0.5041466038805399,33,r190_v3_b20,0.5,0,train,0.013827968532124807,0.019182747063595195,0.38724260320887294,False,False
match_r190_v3_b20_funded_val_i1,futures_5x,1000.0,890.485493795236,-109.51450620476396,-10.9514506204764,1,0.0,-41.98449812409663,-41.98449812409663,-41.98449812409663,39.16040103499242,-0.04345391975550496,99.99952435312025,1.1439503797399977,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,67.5300080806714,Deribit 8h aggregation,46,0.06301369863013699,0,0.0,6.027397260273973,-0.08798511381112631,0.2639904984540266,0.3608083560738599,46,r190_v3_b20,0.36042722364742463,1,train,0.013827968532124807,0.013813164496694662,0.0010705864274822981,True,True
match_r190_v3_b20_inner_val_i0,spot,1000.0,864.1271390351665,-135.87286096483354,-13.587286096483354,1,0.0,-135.87286096483354,-135.87286096483354,-135.87286096483354,49.13399121172731,0.028510957343515587,99.99952435312025,8.682566673504143,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,27,0.036986301369863014,0,0.0,3.6986301369863015,-0.01221935446376827,0.37031438525624927,0.5001103624774786,27,r190_v3_b20,0.5,0,train,0.015014854460232648,0.019376506158337116,0.2904891092788445,False,False
match_r190_v3_b20_inner_val_i1,spot,1000.0,939.7146818229447,-60.285318177055274,-6.028531817705529,1,0.0,-60.2853181770555,-60.2853181770555,-60.2853181770555,40.016539352043345,0.06296221221984435,99.99952435312025,10.638458132592,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,49,0.06712328767123288,0,0.0,6.301369863013699,0.03482855933419147,0.28684958604042093,0.39106312909264734,49,r190_v3_b20,0.3874499958232206,1,train,0.015014854460232648,0.015009254276153917,0.00037297624785930525,True,True
match_r190_v4_b05_funded_val_i0,futures_5x,1000.0,830.7162613217865,-169.28373867821347,-16.928373867821346,1,0.0,-67.29243280033148,-67.29243280033148,-67.29243280033148,49.217620782934745,-0.013011270110329562,99.99952435312025,1.215268142742362,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,101.99130587788268,Deribit 8h aggregation,33,0.045205479452054796,0,0.0,4.2465753424657535,-0.07003886434884987,0.3666113554390658,0.5041466038805399,33,r190_v4_b05,0.5,0,train,0.014812769372590824,0.019182747063595195,0.2950142259752229,False,False
match_r190_v4_b05_funded_val_i1,futures_5x,1000.0,879.8763079806702,-120.12369201932984,-12.012369201932982,1,0.0,-46.14303664226762,-46.14303664226762,-46.14303664226762,41.134312939419196,-0.03698324099790212,99.99952435312025,1.1844486694343774,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,73.98065537706256,Deribit 8h aggregation,44,0.06027397260273973,0,0.0,5.7534246575342465,-0.08402220690441486,0.2836916255656417,0.38929853557721433,44,r190_v4_b05,0.38609614471491244,1,train,0.014812769372590824,0.01484401564912893,0.00210941490764871,True,True
match_r190_v4_b05_inner_val_i0,spot,1000.0,864.1271390351665,-135.87286096483354,-13.587286096483354,1,0.0,-135.87286096483354,-135.87286096483354,-135.87286096483354,49.13399121172731,0.028510957343515587,99.99952435312025,8.682566673504143,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,27,0.036986301369863014,0,0.0,3.6986301369863015,-0.01221935446376827,0.37031438525624927,0.5001103624774786,27,r190_v4_b05,0.5,0,train,0.015167692580719134,0.019376506158337116,0.27748542207192023,False,False
match_r190_v4_b05_inner_val_i1,spot,1000.0,922.4090170782541,-77.59098292174588,-7.759098292174582,1,0.0,-77.59098292174548,-77.59098292174548,-77.59098292174548,41.436957009327976,0.03686457520938902,99.99952435312025,9.670919994296424,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,43,0.0589041095890411,0,0.0,5.616438356164384,0.006171443275641272,0.29065288915020665,0.3955986165992844,43,r190_v4_b05,0.39139389879617026,1,train,0.015167692580719134,0.015208260118386567,0.0026746017861017184,True,True
