arm,window,universe,bench,hold_days,turnover_per_day,rebalances_per_day,implied_log_drag_total,mean_notional,gross_growth_diff,gross_growth_lo,gross_growth_hi,net_growth_diff,net_growth_lo,net_growth_hi,net_dd_diff,net_dd_lo,net_dd_hi,cand_final,bench_final,cand_dd,bench_dd,n_days,p_a,p_mult,p_mode,net_volmatch_c,net_volmatch_vol,net_volmatch_matched,net_cand_vol,gross_volmatch_c,gross_volmatch_vol,gross_volmatch_matched,gross_cand_vol,kind,first_bar_warm
aim_equal,W_TRAIN,U8,VOLMATCH_HOLD,1.807909604519774,0.21867713850589438,3.9296875,0.1399533686437724,0.5433867453206872,0.38857758754763605,-0.937964128625086,2.067223565338702,0.25699902698994515,-1.07587978529436,1.950397707904001,-12.872472908673672,-20.992632861670053,13.049458192947874,8183.079334685159,6336.2858707384385,40.56387198475914,53.43634489343281,639,0.007308858316727723,1.0,equal,0.8047132411541839,0.7600093615982907,True,0.7637244855237885,0.804445842587824,0.7596683835623116,True,0.7635187221819231,decomposition,True
aim_equal,W_TRAIN,U8,VOLMATCH_HOLD,1.461187214611872,0.3185430067135514,5.6953125,0.20386752429667288,0.5412185727093061,0.20878531021747038,-1.1747389137991304,1.943422801370912,0.009892045936762406,-1.3891171427326305,1.7776465203096978,-13.256038146674776,-20.438926423066412,17.48331711810098,6422.307286760125,6371.808876897889,41.716795756614054,54.97283390328883,639,0.014617716633455445,2.0,equal,0.8193526390259367,0.7748194972541103,True,0.7776182131725924,0.8189483853918207,0.7743081341534918,True,0.7772834312075494,decomposition,True
aim_equal,W_TRAIN,U8,VOLMATCH_HOLD,1.0666666666666667,0.46621570060690665,8.1109375,0.29837804838842025,0.5388623728531241,-0.01926922989094848,-1.532881610159136,1.8392023999488178,-0.3169871182203132,-1.88315189433047,1.5804782844890388,-8.766364114808361,-21.236064371728922,24.13761609124903,4633.063958178245,6372.962581025011,47.14674434560063,55.91310846040899,639,0.02923543326691089,4.0,equal,0.8308740332506487,0.7857142501418358,True,0.7885527553508277,0.8295292795690088,0.7844197645157907,True,0.7873260100537778,decomposition,True
aim_equal,W_TRAIN,U8,VOLMATCH_HOLD,0.11045909561615465,4.721388320383018,11.5484375,3.0216885250451315,0.5485266107010235,-1.7734359685189875,-3.9662357601936282,0.6022322793881062,-4.8082268123000285,-7.805770998806982,-1.7092808508509691,35.44770422513994,13.498862691914947,64.99421702174205,60.061173026114034,7424.6062952484335,96.14552108902046,60.697816863880526,639,1.0,136.820274339059,equal,0.9240005944494767,0.8749192803799203,True,0.8769358356865808,0.892668040917717,0.8449513467188793,True,0.8472525132849161,decomposition,True
R63_BASELINE_k1,W_VAL,U8,VOLMATCH_HOLD,0.41430192962542567,2.528176800047855,2.43013698630137,0.9227845320174671,0.408704161028632,0.604780987858091,-0.3368852089081132,1.6330085680690989,-0.24628278989822538,-1.5851012758006202,1.1299578979908707,7.910577575515845,-23.02678671027434,34.05487181541009,285.4055321207132,377.6996078876227,73.32733907384268,65.41676149832684,364,nan,nan,r63_equal_rank,0.9442456165635664,0.7502189782880408,True,0.7494355557264848,0.8900029406813756,0.7055529523558172,True,0.7063188835063312,reference,True
aim_gp,W_VAL,U8,VOLMATCH_HOLD,40.55555555555556,0.01959953481704988,0.26301369863013696,0.007153830208223207,0.3949932611434621,-0.09871983486446695,-0.47767119474655517,0.2645329189606546,-0.10864868122036003,-0.48724894286307946,0.257787813671906,6.621605776467526,-12.798844665492295,21.552639675524986,568.576244239518,640.3264868374381,46.2123237183833,39.59071794191578,364,0.00011420091119887067,0.015625,gp,0.48197277963268553,0.38381621400898014,True,0.3825355729620629,0.48183888870574315,0.3836186729787341,True,0.3823941364059065,frontier_extension,True
aim_gp,W_VAL,U8,VOLMATCH_HOLD,5.367647058823529,0.04179563670027124,0.6109589041095891,0.015255407395599005,0.4196052147080624,-0.07204582146343919,-0.6271505814261662,0.5208196709809149,-0.0855720405285747,-0.640752664917452,0.5124374588006575,7.029476990205254,-20.27095510140338,24.75805252489904,531.8668440792593,587.7868859568148,52.33819329211343,45.30871630190818,364,0.00045680364479548267,0.0625,gp,0.5766139552464833,0.45735276743319686,True,0.4576510522362625,0.5764946245422433,0.4572101879986624,True,0.45751426309034426,frontier_extension,True
aim_gp,W_VAL,U8,VOLMATCH_HOLD,3.0672268907563027,0.0944882390558149,1.4767123287671233,0.03448820725537244,0.4331605036937499,0.27480485067639593,-0.43641394598154976,1.0118292327153264,0.24242571587258005,-0.47332397420256894,0.9814597852346825,-5.503499738842933,-29.45610183248376,18.194516181353276,632.5216318570854,503.9363215870737,47.58276510190493,53.086264840747866,364,0.0018272145791819307,0.25,gp,0.706165857661868,0.558565056725149,True,0.5604747246780196,0.7060496326703976,0.5583981221803772,True,0.5603309443742002,band,True
aim_gp,W_VAL,U8,VOLMATCH_HOLD,2.4496644295302015,0.13256896648195302,2.1342465753424658,0.048387672765912854,0.43013997668512577,0.27212960628844873,-0.43919892371908437,1.0236095750019556,0.22516123042987146,-0.49861524197541546,0.9811648771407888,-6.2524111778609,-28.67654018849535,18.447916357451255,607.4155103048192,494.08291853792343,47.62736906332635,53.87978024118725,364,0.0036544291583638614,0.5,gp,0.7193623240552829,0.5695620684391192,True,0.5709485896890827,0.7192544296726715,0.5694236497265914,True,0.5708104574738236,band,True
aim_gp,W_VAL,U8,VOLMATCH_HOLD,1.994535519125683,0.1817630422893309,2.9232876712328766,0.06634351043560578,0.4284242034374163,0.330113180849033,-0.4170774869107811,1.1253051762097186,0.26077732428650513,-0.5112748567360007,1.0815825227800857,-7.381044065995695,-29.087780005011037,18.888455880355572,606.0996487508659,477.0782908572255,48.04497007281704,55.42601413881273,364,0.007308858316727723,1.0,gp,0.7482990020142447,0.59368914358641,True,0.5939152574147707,0.7474612651219548,0.5937699713412626,True,0.5931957998262115,frozen,True
aim_gp,W_VAL,U8,VOLMATCH_HOLD,1.5665236051502145,0.2505216734035392,4.046575342465753,0.09144041079229182,0.42312514082323377,0.34450075131963875,-0.40740389734351173,1.1453998428095262,0.2573319307913272,-0.5090639617643308,1.0687877913791928,-7.216371366966648,-29.16360887787883,18.877171146295314,594.4734028972309,468.31623684143426,49.167455725091976,56.383827092058624,364,0.014617716633455445,2.0,gp,0.7567611564267007,0.5991320239078208,True,0.6006315601261589,0.7554111681648626,0.598920410000564,True,0.5995049549813073,band,True
aim_gp,W_VAL,U8,VOLMATCH_HOLD,1.2331081081081081,0.359726603865529,5.726027397260274,0.13130021041091808,0.42366947438802327,0.33557926360096535,-0.4415372561875114,1.1644337521808537,0.21429274422857725,-0.5873544676533559,1.0644307128079213,-7.343813261775622,-27.8034598689649,20.784366294692735,557.6583960434983,458.99946713365205,50.2804291012691,57.62424236304472,364,0.02923543326691089,4.0,gp,0.7743866213087481,0.6158793976132485,True,0.6146206640596116,0.7720809597291269,0.6138451082689215,True,0.6127343366246312,band,True
aim_gp,W_VAL,U8,VOLMATCH_HOLD,0.14807302231237324,3.3942555926845976,8.991780821917809,1.238903291329878,0.4354546467072571,0.2838972148194876,-0.5437549522654589,1.162753780450641,-0.9105440355478492,-1.9380819070493562,0.19273563304659383,23.21368037285866,-4.229504961564743,43.35348143482488,165.2893436507141,420.44530916109056,84.76268085519794,61.54900048233928,364,1.0,136.820274339059,gp,0.8601673006607601,0.6815438917915331,True,0.6827036818391733,0.8270338566343753,0.6565530415446326,True,0.6563457304901815,no_smoothing_endpoint,True
aim_equal,W_VAL,U8,VOLMATCH_HOLD,40.55555555555556,0.02040102542094067,0.28493150684931506,0.007446374278643345,0.40360871046902214,-0.11905428805861229,-0.4771180038602838,0.24112468440982499,-0.12606908964332753,-0.48799546264095744,0.23349539083597345,7.492799923195001,-11.637451734813135,21.13669558325401,561.1740147722345,642.8406230296208,46.764541108862,39.271741185667,364,0.00011420091119887067,0.015625,equal,0.46851703259758176,0.3736464471454282,True,0.3718559202529851,0.4683791147592444,0.3736142056145327,True,0.3717122700079593,decomposition,True
