arm,window,universe,bench,hold_days,turnover_per_day,rebalances_per_day,implied_log_drag_total,mean_notional,gross_growth_diff,gross_growth_lo,gross_growth_hi,net_growth_diff,net_growth_lo,net_growth_hi,net_dd_diff,net_dd_lo,net_dd_hi,cand_final,bench_final,cand_dd,bench_dd,n_days,p_buffer,p_hold_days_param,p_k,volmatch_c_net,volmatch_vol_net,volmatch_matched_net,volmatch_shared_flag_net,cand_vol_net,volmatch_c_gross,volmatch_vol_gross,volmatch_matched_gross,volmatch_shared_flag_gross,cand_vol_gross,cand_final_gross,bench_final_gross,n_bars,tenure_days,raw_turnover_per_day,membership_changes_per_day,span_days,config_kind
rank_buffer,W_VAL,U8,VOLMATCH_HOLD,0.6347826086956522,1.2301718112967828,1.5917808219178082,0.44901271112332575,0.408704161028632,0.5698726165217731,-0.3410775763235498,1.5492521788070897,0.14251410981774126,-0.8735455262093232,1.2281563715322839,-1.8213183038105498,-29.438281268525863,24.489953889162848,454.27509804392633,406.57999384321613,60.77115224745351,62.59247055126406,364,0.05,1,1,0.8787941516698832,0.6971211317675089,True,True,0.6974875730138662,0.8596054792999431,0.6810568079727225,True,True,0.6821950295245424,722.2238486991034,421.6637484165168,105120,0.6823842592592593,1.230183513955781,1.5753574520305558,364.99652777777777,grid
rank_buffer,W_VAL,U8,VOLMATCH_HOLD,0.6369982547993019,1.2227609289358872,1.5863013698630137,0.4463077390615988,0.408704161028632,0.4485016924626769,-0.4956053323212527,1.4449784648628234,0.01570680373258604,-1.047341695659474,1.1225302829037151,2.58620940761125,-26.575534717891678,28.446344037664925,404.7352523706787,411.1691490462161,65.04915707749718,62.462947669885935,364,0.1,1,1,0.8755865049596313,0.693658057349314,True,True,0.6949417052304175,0.8559969560587729,0.6785206347420102,True,True,0.6793312545971711,641.6248878661486,422.89192550369467,105120,0.686964019388516,1.2227725610949536,1.5698779478495801,364.99652777777777,grid
rank_buffer,W_VAL,U8,VOLMATCH_HOLD,0.6282271944922547,1.2569002806698413,1.6082191780821917,0.45876860244449214,0.408704161028632,0.26938488927624515,-0.6820941521582229,1.242965681837027,-0.16375886917608484,-1.197318001321924,0.9040585682934388,9.032137636797493,-23.754729447363317,31.621105493671838,357.4660489402822,433.8659059580049,69.13108098822816,60.09894335143067,364,0.0,3,1,0.8320477195053577,0.6607811558080523,True,True,0.660385533297812,0.8092708407539135,0.6426844403933126,True,True,0.6422487506141514,566.1467646817088,445.5826582979479,105120,0.6690041757443718,1.2569122375975197,1.5917959645734834,364.99652777777777,grid
rank_buffer,W_VAL,U8,VOLMATCH_HOLD,0.6325823223570191,1.239560555941961,1.5972602739726027,0.4524396029188157,0.408704161028632,0.28441065450101244,-0.6766197553654163,1.2651665074543945,-0.15059748470011647,-1.1901560546670042,0.915811956168581,8.398005437732927,-24.17684955745473,31.749239347011855,358.60911195500046,429.8205479088366,69.03237197871161,60.63436654097868,364,0.02,3,1,0.8490105537141288,0.6747574397045025,True,True,0.6738487158203975,0.8264631084784515,0.6562646257316129,True,True,0.6558927767056167,564.387749170154,437.8476721950758,105120,0.6778651582045622,1.2395723479163507,1.5808369562115316,364.99652777777777,grid
rank_buffer,W_VAL,U8,VOLMATCH_HOLD,0.6369982547993019,1.2227609289358872,1.5863013698630137,0.4463077390615988,0.408704161028632,0.32661093863927226,-0.5918403295821077,1.2804914068570756,-0.09713970946746442,-1.114768084401784,0.9652901722087934,6.69460347917299,-25.184441216251365,30.313760412177395,383.2399223988981,435.2651206596745,66.90538259037392,60.21077911120093,364,0.05,3,1,0.8382023298489512,0.6659695751871504,True,True,0.6652703680719646,0.8170063886654159,0.6486907908196592,True,True,0.6483877905143781,599.3523268325758,445.60577931512046,105120,0.686964019388516,1.2227725610949536,1.5698779478495801,364.99652777777777,grid
rank_buffer,W_VAL,U8,VOLMATCH_HOLD,0.6369982547993019,1.2227609289358872,1.5863013698630137,0.4463077390615988,0.408704161028632,0.1949725757004619,-0.7557319732874301,1.1593963673004977,-0.22862142702070942,-1.2697859703361882,0.8827100036593262,10.8899562763985,-22.63361330343068,34.29831206098045,333.68158143254175,432.26895784149923,71.1849845782645,60.295028301866004,364,0.1,3,1,0.8406004002674584,0.6682610013746888,True,True,0.6671736856042247,0.8191189734449215,0.6522027902121416,True,True,0.650064367584596,521.8538312324578,442.6094797854654,105120,0.686964019388516,1.2227725610949536,1.5698779478495801,364.99652777777777,grid
rank_buffer,W_VAL,U8,VOLMATCH_HOLD,0.6325823223570191,1.2367891467215153,1.5972602739726027,0.45142803855335306,0.408704161028632,-0.04507428302475536,-1.0909169573319768,0.9716262564561794,-0.45726033405240785,-1.5616240447426126,0.6513006641400397,18.947472299983588,-17.43759893693319,40.475590746158325,289.7010927731239,470.2238704604787,74.98291209208146,56.035439792097876,364,0.0,7,1,0.7521132152506471,0.5977229756794911,True,True,0.5969425492192968,0.7279217230710499,0.5790713243895576,True,True,0.5776889437308214,455.54483936713376,489.5643192057315,105120,0.6778651582045622,1.2368009123314112,1.5808369562115316,364.99652777777777,grid
rank_buffer,W_VAL,U8,VOLMATCH_HOLD,0.6369982547993019,1.2227609289358872,1.5863013698630137,0.4463077390615988,0.408704161028632,0.05006767718336347,-0.9422337002124506,1.0252991117320602,-0.3630547336392793,-1.4523517747660115,0.7160927095334456,15.748263794895692,-19.43541231172634,38.39912051767035,314.0069700111743,464.11288206867226,72.88398225470046,57.135718459804764,364,0.02,7,1,0.767843358818166,0.6108528886703237,True,True,0.6094273610938641,0.7445875011664542,0.5906689347033575,True,True,0.5909151402286648,490.99316344640647,480.0635451211605,105120,0.686964019388516,1.2227725610949536,1.5698779478495801,364.99652777777777,grid
rank_buffer,W_VAL,U8,VOLMATCH_HOLD,0.6369982547993019,1.2227609289358872,1.5863013698630137,0.4463077390615988,0.408704161028632,-0.009671663298796318,-1.000254528621477,0.9829713104533231,-0.4274024184711205,-1.5079306312868663,0.6817634726185309,17.903048116077734,-17.838346692496568,39.85115105526657,296.36137897009985,467.11175871556645,74.40776422609757,56.504716110019835,364,0.05,7,1,0.7658351318423685,0.606813541046104,True,True,0.6078334572692331,0.7428244920388224,0.589293476939646,True,True,0.5895159913250813,463.40483050193797,480.9504719791814,105120,0.686964019388516,1.2227725610949536,1.5698779478495801,364.99652777777777,grid
rank_buffer,W_VAL,U8,VOLMATCH_HOLD,0.6369982547993019,1.2227609289358872,1.5863013698630137,0.4463077390615988,0.408704161028632,-0.06537897244797564,-1.0638294257294514,0.9191211180977901,-0.4826164336628409,-1.564090172152879,0.6206650326487264,18.811790669537857,-16.58928713948127,40.733463785184604,279.4503783449471,465.5211921121354,75.8681107688068,57.056320099268945,364,0.1,7,1,0.769491795284451,0.610650997243701,True,True,0.6107357038359634,0.7461913200891007,0.5919749681731206,True,True,0.5921879535408575,436.94671055646387,479.5291634322982,105120,0.686964019388516,1.2227725610949536,1.5698779478495801,364.99652777777777,grid
