ts,open,high,low,close,volume,quote_volume,taker_buy_base
1767540900000,91271.92,91281.8,91172.15,91225.17,28.37095,2588185.6742069,12.29586
1767541200000,91225.18,91244.7,91206.45,91206.77,22.94509,2093119.8635276,16.95794
1767541500000,91206.77,91226.01,91096.27,91226.0,42.99296,3919053.3112971,22.04149
1767541800000,91226.0,91328.25,91214.32,91304.23,25.5189,2329260.5855274,18.0645
1767542100000,91304.23,91338.04,91298.44,91334.94,19.05111,1739586.0982017,14.30453
1767542400000,91334.94,91423.62,91324.81,91405.52,76.95197,7031612.4403756,52.30668
1767542700000,91405.52,91455.9,91244.6,91289.72,67.43275,6160421.1891556,25.56301
1767543000000,91289.72,91293.82,91258.06,91282.27,18.58385,1696366.6902706,11.4334
1767543300000,91282.28,91300.0,91247.03,91281.83,18.43424,1682573.3405973,9.31727
1767543600000,91281.82,91362.73,91281.82,91344.36,20.48883,1871115.8880695,12.13894
1767543900000,91344.37,91344.37,91314.25,91341.5,9.311,850356.3966175,4.39397
1767544200000,91341.5,91430.7,91318.0,91430.69,12.04257,1100406.6089566,9.30693
1767544500000,91430.7,91437.41,91352.67,91352.67,10.36364,947122.0178955,3.34377
1767544800000,91352.67,91352.68,91300.0,91301.31,67.97244,6207235.6224241,3.64075
1767545100000,91301.31,91319.68,91301.3,91308.13,6.60618,603225.1879207,3.67222
1767545400000,91308.12,91322.31,91300.0,91322.31,10.5289,961379.898377,7.31414
1767545700000,91322.31,91331.87,91320.99,91321.0,7.72785,705738.7995291,2.28036
1767546000000,91321.0,91431.34,91306.77,91354.0,22.88199,2090935.4367707,12.99085
1767546300000,91354.0,91365.83,91342.69,91365.82,12.64251,1154979.3213501,10.7167
1767546600000,91365.83,91375.04,91349.54,91349.89,20.70876,1892081.2471929,12.9702
1767546900000,91349.88,91359.54,91320.38,91356.37,9.11615,832644.9912467,3.69678
1767547200000,91356.37,91431.0,91356.37,91401.25,9.82591,898001.0067225,6.49345
1767547500000,91401.24,91412.57,91362.23,91362.23,9.26278,846479.4674887,5.07793
1767547800000,91362.24,91412.57,91362.23,91408.08,8.50798,777567.3057173,5.1944
1767548100000,91408.08,91436.21,91404.0,91418.75,10.37756,948696.4004426,7.17713
1767548400000,91418.75,91418.76,91378.7,91385.64,7.93548,725244.1368891,2.56992
1767548700000,91385.64,91407.41,91385.63,91407.41,10.6879,976791.8584317,6.62737
1767549000000,91407.4,91409.57,91351.0,91351.0,7.15518,653899.7418895,1.17512
1767549300000,91351.0,91351.0,91335.36,91335.73,8.01007,731615.3055647,3.69544
1767549600000,91335.72,91335.73,91285.37,91300.0,14.51988,1325832.3272578,4.41614
1767549900000,91300.0,91300.0,91256.34,91282.42,15.88976,1450301.7876673,3.81542
1767550200000,91282.42,91282.43,91236.53,91236.54,6.00135,547599.2993653,0.797
1767550500000,91236.53,91254.0,91189.65,91191.67,23.79946,2170905.7611096,6.28355
1767550800000,91191.67,91210.0,91140.62,91166.0,35.77757,3261711.2411497,17.58446
1767551100000,91166.0,91182.72,91165.99,91179.65,12.55138,1144353.3258245,8.92095
1767551400000,91179.65,91185.0,91096.27,91131.61,40.84331,3722585.5926959,15.41301
1767551700000,91131.61,91160.0,91000.0,91160.0,84.46596,7690531.2067172,29.64702
1767552000000,91159.99,91228.95,91083.49,91219.99,31.88262,2906863.9366909,22.29596
1767552300000,91220.0,91226.67,91170.03,91182.2,15.42027,1406198.3142005,7.27212
1767552600000,91182.2,91186.0,91160.0,91181.97,11.43847,1042929.4124344,7.59192
1767552900000,91181.96,91212.77,91180.0,91205.39,12.07856,1101504.0964179,10.13801
1767553200000,91205.38,91205.39,91080.06,91094.14,25.25608,2301816.5182436,13.82367
1767553500000,91094.15,91094.15,90863.47,90930.11,142.18574,12933269.665143,49.37516
1767553800000,90930.12,91052.71,90912.58,91012.94,54.11537,4923744.4242026,24.10011
1767554100000,91012.95,91076.71,90987.33,91046.98,10.93323,995390.8489695,7.34578
1767554400000,91046.98,91204.33,91046.97,91129.84,54.06885,4927520.7245847,26.7431
1767554700000,91129.84,91150.0,91094.0,91124.1,13.74677,1252532.517326,10.4213
1767555000000,91124.11,91171.01,91114.0,91158.24,10.22427,931963.1095493,4.52856
1767555300000,91158.23,91182.32,91101.56,91101.57,13.92925,1269604.5183243,9.0292
1767555600000,91101.56,91101.57,91054.0,91068.01,11.74913,1070059.0539341,7.81719
1767555900000,91068.01,91132.19,91068.0,91124.38,18.2257,1660043.5853377,16.68126
1767556200000,91124.39,91124.39,91110.12,91110.12,2.44051,222376.5263791,0.97404
1767556500000,91110.12,91175.31,91110.12,91138.07,15.42956,1406317.7940415,6.48425
1767556800000,91138.06,91166.0,91132.0,91148.01,6.92781,631425.5807324,4.68752
1767557100000,91148.0,91228.0,91134.47,91199.44,20.70892,1888268.7264601,16.40958
1767557400000,91199.45,91282.33,91199.44,91270.0,16.78569,1531602.0275444,14.28519
1767557700000,91270.01,91272.0,91240.0,91254.01,13.61493,1242425.5704433,5.17625
1767558000000,91254.0,91262.0,91254.0,91261.5,6.1402,560354.4907935,4.82938
1767558300000,91261.51,91340.0,91261.5,91339.99,17.52912,1600438.8118753,16.48747
1767558600000,91340.0,91340.0,91270.0,91294.01,20.13196,1838054.8777144,4.7701
1767558900000,91294.01,91323.0,91294.0,91322.99,8.63629,788604.7902884,6.19927
1767559200000,91322.99,91338.0,91295.6,91295.61,9.64492,880742.4345847,2.12587
1767559500000,91295.6,91295.61,91267.81,91287.99,7.05021,643537.4436403,3.90839
1767559800000,91288.0,91349.38,91287.99,91313.95,16.12242,1472383.0979599,6.89433
1767560100000,91313.95,91313.95,91297.13,91313.94,4.22941,386167.6805521,2.19654
1767560400000,91313.93,91349.38,91267.71,91349.38,9.67948,883741.7927623,4.58717
1767560700000,91349.37,91379.99,91349.37,91374.02,9.887,903316.0335676,7.14165
1767561000000,91374.03,91421.96,91358.0,91360.01,25.27041,2309358.4944571,17.6329
1767561300000,91360.0,91360.01,91312.38,91312.39,13.91886,1271338.0196505,9.70988
1767561600000,91312.38,91325.2,91308.01,91318.4,8.17095,746147.2199088,3.94089
1767561900000,91318.4,91344.0,91312.0,91312.0,9.6991,885750.0608223,5.23996
1767562200000,91312.0,91327.43,91292.0,91327.43,8.56176,781781.7571088,4.04541
1767562500000,91327.42,91344.0,91294.0,91294.0,5.15783,471069.5756358,2.71551
1767562800000,91294.0,91294.01,91212.0,91212.0,10.14637,925843.6887842,2.75565
1767563100000,91212.0,91212.01,91182.71,91190.92,10.68922,974833.3449829,3.31865
1767563400000,91190.92,91294.0,91190.92,91294.0,17.27555,1576144.7947899,14.52313
1767563700000,91294.0,91294.0,91268.88,91279.99,6.88142,628134.7836659,2.66574
1767564000000,91279.99,91375.99,91252.49,91375.99,14.31415,1307118.3187369,10.55261
1767564300000,91375.99,91401.98,91336.0,91349.99,14.34849,1310936.1120347,5.77288
1767564600000,91349.99,91350.0,91150.47,91191.59,21.29719,1943473.2287342,8.3557
1767564900000,91191.59,91236.0,91150.47,91235.99,25.92759,2364530.6958583,19.86958
1767565200000,91235.99,91244.04,91224.0,91224.01,12.09498,1103547.1574166,8.22264
1767565500000,91224.01,91285.38,91224.0,91285.37,9.50795,867505.2489943,8.27635
1767565800000,91285.37,91292.0,91247.34,91250.11,12.09617,1104073.5823107,3.0945
1767566100000,91250.12,91254.0,91182.71,91182.71,10.42297,950933.2370372,5.67054
