ts,open,high,low,close,volume,quote_volume,taker_buy_base
1760715600000,105900.0,106168.0,105900.0,106078.8,697.241,73967943.5084,407.571
1760715900000,106078.8,106333.0,106030.3,106289.1,1043.829,110852850.3797,598.385
1760716200000,106289.0,106642.6,106158.9,106418.2,1426.297,151764529.9856,883.861
1760716500000,106418.1,106800.0,106395.0,106750.1,1259.699,134313480.3438,745.525
1760716800000,106750.0,107505.0,106708.4,107251.8,4078.761,437183836.178,2473.435
1760717100000,107251.7,107343.2,107050.0,107227.0,1600.057,171514469.288,854.753
1760717400000,107227.1,107227.1,106890.1,106929.9,1036.727,110935985.1323,341.523
1760717700000,106929.9,107166.6,106808.6,106912.2,951.567,101773496.0459,376.496
1760718000000,106912.1,107202.4,106884.3,107085.0,600.203,64241396.6823,337.472
1760718300000,107084.9,107084.9,106609.5,106738.2,983.892,105062640.7512,401.508
1760718600000,106738.2,106830.1,106427.9,106458.3,1196.674,127547942.709,406.613
1760718900000,106458.2,106662.5,106379.0,106615.2,691.167,73613464.5994,354.831
1760719200000,106615.2,106661.3,106492.9,106564.7,351.511,37461375.4971,171.179
1760719500000,106564.7,106867.5,106481.3,106731.0,743.258,79291899.1992,341.278
1760719800000,106730.9,106778.6,106288.0,106376.9,630.741,67146850.3358,276.999
1760720100000,106377.0,106377.0,106200.0,106331.2,556.456,59136502.2465,250.137
1760720400000,106331.1,106442.9,106242.6,106397.3,393.291,41824929.8463,230.155
1760720700000,106397.4,106666.6,106380.4,106469.9,348.157,37091283.5308,203.536
1760721000000,106469.8,106653.8,106347.8,106603.8,281.292,29960245.3511,146.736
1760721300000,106603.8,106688.7,106270.0,106270.6,429.694,45766621.1589,196.637
1760721600000,106270.7,106460.8,106140.1,106353.6,416.233,44236662.356,200.894
1760721900000,106353.5,106353.6,106129.0,106171.6,247.639,26304218.6278,98.414
1760722200000,106171.5,106436.3,106094.6,106417.4,398.309,42308691.6589,234.376
1760722500000,106417.4,106533.4,106319.9,106357.7,352.027,37461759.4463,204.359
1760722800000,106357.7,106400.0,106178.3,106303.9,300.867,31983504.9927,168.71
1760723100000,106303.9,106315.0,106016.6,106219.2,471.998,50096756.4882,217.938
1760723400000,106219.3,106538.2,106199.0,106435.6,462.473,49201467.4689,303.561
1760723700000,106435.5,106493.4,106293.7,106405.3,383.349,40786414.2148,184.758
1760724000000,106405.2,106635.0,106405.2,106554.7,491.098,52322805.7034,248.368
1760724300000,106554.6,106733.4,106523.2,106680.0,539.665,57556047.7912,351.523
1760724600000,106679.4,106850.0,106490.4,106531.1,822.227,87752901.7745,421.521
1760724900000,106531.1,106654.1,106468.0,106633.7,265.22,28257477.5969,135.197
1760725200000,106633.8,106912.7,106633.8,106828.8,368.629,39369997.1806,188.898
1760725500000,106828.7,106916.6,106775.0,106830.1,270.076,28860344.9317,115.974
1760725800000,106830.1,106929.7,106686.3,106769.1,238.147,25441715.9914,107.343
1760726100000,106769.0,107058.8,106769.0,106814.9,551.693,59001345.7236,373.727
1760726400000,106815.0,106870.6,106677.4,106677.4,242.23,25862369.7738,102.087
1760726700000,106677.4,106776.2,106500.0,106617.1,280.649,29925657.0892,121.931
1760727000000,106617.2,106623.4,106454.5,106561.2,213.048,22702035.9331,85.32
1760727300000,106561.2,106645.3,106493.0,106600.1,305.037,32506615.1711,192.103
1760727600000,106600.1,106779.9,106597.6,106729.8,319.192,34057187.1168,207.784
1760727900000,106729.9,106798.7,106602.9,106751.7,220.833,23563472.4835,123.634
1760728200000,106751.6,106849.9,106701.8,106718.0,181.159,19344606.0188,89.115
1760728500000,106718.6,106781.0,106629.5,106669.2,192.48,20534786.2929,81.39
1760728800000,106669.2,106761.1,106593.2,106617.0,191.546,20430164.5628,78.466
1760729100000,106617.0,106635.7,106428.0,106546.7,352.008,37490999.499,88.741
1760729400000,106546.7,106546.7,106200.1,106291.0,487.637,51849907.3117,170.306
1760729700000,106291.0,106366.0,106183.3,106312.8,419.912,44623007.2623,222.568
1760730000000,106312.8,106480.8,106277.5,106404.8,292.742,31147924.1372,153.698
1760730300000,106404.9,106498.9,106331.4,106475.9,193.968,20643913.7872,110.304
1760730600000,106476.0,106593.8,106398.7,106545.1,216.506,23053007.7123,104.387
1760730900000,106545.2,106549.7,106366.9,106416.4,192.697,20509667.3894,96.694
1760731200000,106416.5,106449.0,106296.3,106342.5,219.096,23304063.2793,78.786
1760731500000,106342.5,106423.8,106306.9,106356.0,158.464,16856452.4861,75.442
1760731800000,106356.1,106564.6,106327.3,106564.5,194.8,20739731.1619,109.295
1760732100000,106564.6,106777.0,106557.6,106751.8,209.297,22324991.0028,131.779
1760732400000,106751.8,106893.4,106701.2,106863.4,432.017,46143863.8717,218.79
1760732700000,106863.5,107019.4,106857.9,106976.3,311.018,33256943.4205,199.215
1760733000000,106976.3,107084.2,106920.6,106949.9,447.579,47888126.4788,170.245
1760733300000,106949.8,107074.4,106931.5,106993.1,276.377,29570408.9713,141.349
1760733600000,106993.0,107038.9,106843.0,106938.8,395.016,42233863.6596,197.128
1760733900000,106938.9,107134.8,106912.2,107091.1,169.083,18097511.9054,110.26
1760734200000,107091.2,107105.4,106959.6,107036.6,174.374,18667011.2937,81.233
1760734500000,107036.6,107036.6,106941.8,106970.0,153.38,16409112.0314,87.415
1760734800000,106968.6,107071.1,106952.0,107054.5,177.162,18959011.6881,58.089
1760735100000,107054.4,107285.2,107036.1,107200.1,573.296,61456943.4607,333.237
1760735400000,107200.1,107346.6,107193.4,107335.0,510.279,54742523.8843,309.174
1760735700000,107335.0,107370.0,107257.0,107318.6,378.465,40618601.4255,180.724
1760736000000,107318.6,107339.2,107234.8,107332.8,251.652,27001406.0944,109.974
1760736300000,107332.9,107364.4,107293.1,107364.2,190.486,20446005.7891,105.902
1760736600000,107364.3,107364.3,107267.4,107268.6,117.822,12643729.6368,29.521
1760736900000,107268.6,107289.7,107141.7,107259.7,383.012,41064991.8668,215.752
1760737200000,107259.8,107259.8,107147.2,107213.2,255.787,27417295.5793,138.308
1760737500000,107213.2,107347.7,107146.3,107151.8,385.211,41312387.9444,124.39
1760737800000,107151.9,107363.9,107150.8,107363.9,150.637,16148647.4532,85.67
1760738100000,107363.9,107370.0,107232.5,107232.6,245.873,26389092.3178,126.854
1760738400000,107232.6,107355.3,107232.5,107336.7,182.584,19588438.5245,120.971
1760738700000,107336.8,107339.2,107213.7,107230.3,182.771,19602912.3199,43.561
1760739000000,107230.3,107230.3,107084.0,107100.3,193.747,20758036.2503,73.699
1760739300000,107100.2,107170.0,107048.7,107156.2,189.521,20300192.8282,97.65
1760739600000,107156.1,107156.2,106921.3,106934.3,324.542,34727696.6496,55.391
1760739900000,106934.2,107091.7,106934.2,107070.6,172.257,18432997.3751,105.986
1760740200000,107070.6,107087.4,106936.3,106939.1,221.081,23660762.2834,56.245
1760740500000,106939.2,106943.0,106737.3,106835.7,666.523,71215373.3431,282.929
1760740800000,106835.7,106926.9,106810.3,106846.8,226.813,24236277.5445,131.502
1760741100000,106846.8,106927.8,106846.8,106910.0,120.524,12883970.0939,68.285
1760741400000,106909.9,106969.5,106877.0,106930.0,97.596,10434662.5551,36.008
1760741700000,106930.0,106963.0,106900.1,106929.7,89.419,9561344.5475,25.32
1760742000000,106929.6,106929.8,106811.2,106822.2,164.445,17573978.2587,39.999
1760742300000,106822.3,106822.3,106765.4,106779.8,131.818,14077227.6403,42.73
1760742600000,106779.9,106784.1,106731.3,106771.3,107.27,11451625.6503,32.555
1760742900000,106771.2,106825.0,106705.9,106816.5,111.818,11937925.6086,50.578
1760743200000,106816.5,106816.6,106646.9,106666.0,154.058,16439267.0386,42.817
1760743500000,106666.0,106711.6,106524.2,106534.3,221.481,23616583.0845,62.414
1760743800000,106534.3,106597.6,106408.2,106535.3,437.146,46562435.572,188.332
1760744100000,106535.4,106630.6,106535.3,106585.8,167.449,17848632.1184,79.18
1760744400000,106585.8,106585.8,106515.1,106515.3,84.102,8961467.8233,26.134
1760744700000,106515.3,106585.6,106479.0,106481.9,131.966,14058656.2421,44.647
1760745000000,106482.0,106484.4,106355.1,106379.9,276.817,29451815.0232,127.581
1760745300000,106379.9,106395.4,106325.0,106378.6,169.725,18051787.5869,61.741
1760745600000,106378.5,106408.7,106296.4,106311.1,261.022,27759418.4563,93.482
1760745900000,106311.0,106396.2,106302.4,106315.9,261.044,27761975.2199,100.727
1760746200000,106315.9,106356.5,106304.2,106304.2,171.714,18257988.6209,81.47
1760746500000,106304.2,106448.1,106270.0,106420.4,254.403,27059003.5446,172.107
1760746800000,106420.4,106620.6,106420.3,106530.0,588.261,62670231.4099,439.008
1760747100000,106530.0,106786.7,106471.7,106688.7,617.661,65870655.8836,356.334
1760747400000,106688.8,106694.4,106515.3,106565.6,394.412,42055453.5271,184.119
1760747700000,106565.5,106694.0,106565.5,106693.9,84.766,9039646.2805,53.045
1760748000000,106694.0,106759.1,106680.9,106731.1,212.749,22705600.3864,129.154
1760748300000,106731.0,106785.6,106718.3,106752.4,128.576,13727334.543,63.287
1760748600000,106752.4,106780.4,106708.6,106766.1,82.697,8827567.7882,36.52
1760748900000,106766.2,106783.0,106701.1,106783.0,180.019,19214601.1196,98.53
