market,test_groups,train_days,test_days,picked,picked_train_log,picked_test_log,hold_test_log,excess_vs_hold,best_possible_test_log,selection_shortfall,incumbent_test_log,incumbent_excess_vs_hold,hold_inert,rank_corr
spot,4+6,2408,702,kelly_regime_ev_fast,2.4715276077152133,1.0429604354976585,1.7125689366020658,-0.6696085011044073,1.7125689366020658,0.6696085011044073,1.1260014173757789,-0.5865675192262869,False,0.7930561042550042
spot,4+7,2408,702,kelly_regime_ev_fast,2.1148923093286407,1.4908781870537937,2.175388687279207,-0.6845105002254135,2.175388687279207,0.6845105002254135,1.623247754973708,-0.5521409323054991,False,0.7521291582710555
spot,4+8,2408,702,kelly_regime_ev_fast,2.8961031014740435,1.3811727215263272,2.077838179674025,-0.6966654581476976,2.077838179674025,0.6966654581476976,1.3859748241880336,-0.6918633554859912,False,0.7559901909110507
spot,4+9,2508,702,buy_and_hold,3.4371210228220983,0.8429719824977604,0.8429719824977604,0.0,0.8429719824977604,0.0,0.7131920994370642,-0.1297798830606962,False,0.8000059630069954
spot,5+6,2608,702,buy_and_hold,3.8354105574952833,-0.8359000205305265,-0.8359000205305265,0.0,0.1795076217161467,1.0154076422466731,-0.03253447731590786,0.8033655432146186,False,-0.14285820767982063
spot,5+7,2408,702,buy_and_hold,3.2531885198761508,-0.37308026985338505,-0.37308026985338505,0.0,0.6274253732722819,1.000505643125667,0.4647118602820214,0.8377921301354064,False,0.31892129606359954
spot,5+8,2408,702,buy_and_hold,4.280096275811531,-0.47063077745856696,-0.47063077745856696,0.0,0.5177199077448154,0.9883506852033823,0.22743892949634698,0.698069706954914,False,0.2664112521596655
spot,5+9,2508,702,buy_and_hold,5.102735247104224,-1.7054969746348319,-1.7054969746348319,0.0,0.0,1.7054969746348319,-0.44534379525462264,1.2601531793802092,False,-0.7019357339511185
spot,6+7,2608,702,kelly_regime_ev_fast,3.031025495209046,0.8069329949884285,1.0757763795153032,-0.26884338452687473,1.0757763795153032,0.26884338452687473,0.8852702838061322,-0.1905060957091711,False,0.6988469078391224
spot,6+8,2408,702,kelly_regime_ev_fast,3.310623773886385,0.6972275294609621,0.9782258719101211,-0.280998342449159,0.9782258719101211,0.280998342449159,0.6479973530204577,-0.3302285188896634,False,0.7034801470071166
spot,6+9,2508,702,kelly_regime_v3,3.815572357289167,-0.03827469827340502,-0.2566403252661435,0.21836562699273848,0.013036308100099758,0.051311006373504775,-0.02478537173051193,0.23185495353563157,False,-0.26099340768379753
spot,7+8,2608,702,kelly_regime_ev_fast,3.232720880013896,1.145145281017097,1.4410456225872628,-0.29590034157016576,1.4410456225872628,0.29590034157016576,1.1452436906183867,-0.29580193196887605,False,0.6888831932781542
spot,7+9,2508,702,kelly_regime_v3,3.4346873321875453,0.2652785022729867,0.20617942541099787,0.05909907686198884,0.4724609658674171,0.20718246359443038,0.4724609658674171,0.2662815404564192,False,0.6733939702702135
spot,8+9,2708,702,buy_and_hold,4.218901930579867,0.10862891780581585,0.10862891780581585,0.0,0.31558654823219945,0.2069576304263836,0.23518803508174285,0.126559117275927,False,0.47747775070568965
futures,0+1,2708,702,kelly_regime_v4,3.7694257091902346,1.2199334926594014,-4.172096050504291,5.392029543163693,1.3036800374288093,0.0837465447694079,1.2199334926594014,5.392029543163693,False,0.35364198716618567
futures,0+2,2508,702,kelly_regime_v4,2.8654400604230785,2.5001274950241283,-4.172096050504291,6.67222354552842,6.185298883854354,3.6851713888302253,2.5001274950241283,6.67222354552842,False,0.3062993849820235
futures,0+3,2508,702,kelly_regime_v4,2.2782843941083506,2.3423078232629013,-4.172096050504291,6.5144038737671925,5.586500702007268,3.244192878744367,2.3423078232629013,6.5144038737671925,False,0.2857761644965024
futures,0+4,2508,702,kelly_regime_v4,2.400288732453378,2.54304296631216,-4.172096050504291,6.715139016816451,6.099692071628462,3.5566491053163025,2.54304296631216,6.715139016816451,False,0.29894200405325183
futures,0+5,2508,702,kelly_regime_v4,3.461219251037069,1.4071286929169204,-4.172096050504291,5.579224743421212,2.2920943039730624,0.8849656110561419,1.4071286929169204,5.579224743421212,False,0.3698051993145796
futures,0+6,2508,702,kelly_regime_v4,2.8740617122044827,1.8834551980487984,-4.172096050504291,6.05555124855309,5.500486160676495,3.6170309626276964,1.8834551980487984,6.05555124855309,False,0.3163673799371849
futures,0+7,2508,702,kelly_regime_v4,2.3528075714523036,2.4464064900308156,-4.172096050504291,6.618502540535107,6.267593159959563,3.821186669928747,2.4464064900308156,6.618502540535107,False,0.2745464778157455
futures,0+8,2508,702,kelly_regime_v4,3.2729970324903483,2.1678757568983977,-4.172096050504291,6.339971807402689,5.473343336067289,3.3054675791688917,2.1678757568983977,6.339971807402689,False,0.3543159763066392
futures,0+9,2608,702,kelly_regime_v4,3.854949036774758,1.3553281926404679,-4.172096050504291,5.527424243144759,3.6391685763148307,2.283840383674363,1.3553281926404679,5.527424243144759,False,0.349669209404257
futures,1+2,2608,702,kelly_regime_v4,3.7242626945926816,0.5163961502559822,0.0,0.5163961502559822,0.5163961502559822,0.0,0.5163961502559822,0.5163961502559822,True,0.3845588509435171
futures,1+3,2408,702,kelly_regime_v4,3.2345096100578985,0.35857647849475544,0.0,0.35857647849475544,0.3930733787659084,0.034496900271152986,0.35857647849475544,0.35857647849475544,True,0.3791534052475239
futures,1+4,2408,702,kelly_regime_v4,3.3565139484029256,0.5593116215440139,0.0,0.5593116215440139,0.5833372839302101,0.02402566238619619,0.5593116215440139,0.5593116215440139,True,0.44015772095944733
futures,1+5,2408,702,kelly_regime_v4,4.417444466986616,-0.5766026518512257,0.0,-0.5766026518512257,0.0,0.5766026518512257,-0.5766026518512257,-0.5766026518512257,True,-0.34980955718356077
futures,1+6,2408,702,kelly_regime_v4,3.8302869281540306,-0.10027614671934743,0.0,-0.10027614671934743,0.0,0.10027614671934743,-0.10027614671934743,-0.10027614671934743,True,-0.2710444913276597
futures,1+7,2408,702,kelly_regime_v4,3.309032787401851,0.46267514526266945,0.0,0.46267514526266945,0.5167410343270269,0.05406588906435744,0.46267514526266945,0.46267514526266945,True,0.35289838329555684
futures,1+8,2408,702,kelly_regime_v3,4.246106285304669,0.11844346635300917,0.0,0.11844346635300917,0.18414441213025173,0.06570094577724256,0.18414441213025173,0.18414441213025173,True,0.3660258942715404
futures,1+9,2508,702,kelly_regime_v4,4.811174252724306,-0.628403152127678,0.0,-0.628403152127678,0.0,0.628403152127678,-0.628403152127678,-0.628403152127678,True,-0.4370688948474512
futures,2+3,2608,702,kelly_regime_v4,2.765885558956664,1.638770480859482,0.0,1.638770480859482,1.6896435878115166,0.05087310695203451,1.638770480859482,1.638770480859482,True,0.5618427430755689
futures,2+4,2408,702,kelly_regime_v4,2.9781229095611432,1.8395056239087406,0.0,1.8395056239087406,1.847390650672129,0.007885026763388314,1.8395056239087406,1.8395056239087406,True,0.6400393670248478
futures,2+5,2408,702,kelly_regime_v4,4.039053428144834,0.703591350513501,0.0,0.703591350513501,0.703591350513501,0.0,0.703591350513501,0.703591350513501,True,0.5258722960589006
futures,2+6,2408,702,kelly_regime_v4,3.4518958893122482,1.179917855645379,0.0,1.179917855645379,1.2032796906562686,0.02336183501088951,1.179917855645379,1.179917855645379,True,0.6087607174451363
futures,2+7,2408,702,kelly_regime_v4,2.9306417485600686,1.742869147627396,0.0,1.742869147627396,1.742869147627396,0.0,1.742869147627396,1.742869147627396,True,0.5438575195672347
