period,market,above,below,d_log_growth,lo,hi,p_positive,distinguishable
holdout,spot,kelly_regime_v3,kelly_regime_ev,0.011821082699843943,-0.33268855658104535,0.3772107703940358,0.5135,False
holdout,spot,kelly_regime_ev,kelly_regime_v2,0.028658100350765547,-0.3717792852737767,0.4050767895972233,0.5605,False
holdout,spot,kelly_regime_v2,kelly_regime,0.00792789324329557,-0.16257705380466414,0.177016331379359,0.5425,False
holdout,spot,kelly_regime,champions_council,0.21771587454981445,-0.10475136320273748,0.5229871156264146,0.913,False
holdout,spot,champions_council,hedge_experts,0.5684021979823928,0.2785381262832297,0.8790149708236649,1.0,True
holdout,spot,hedge_experts,universal_kelly,0.266598253792496,-0.8212268071339246,1.4404572994512754,0.662,False
holdout,spot,universal_kelly,replicator_book,0.04743542519609102,-0.3897859053839725,0.49919272945455223,0.6005,False
holdout,spot,replicator_book,harsanyi_crowd,0.02176556293030593,-0.44815784831941585,0.48638995013340414,0.5235,False
holdout,spot,harsanyi_crowd,overshoot_fade,0.012287589669441074,-0.08283357202470078,0.11663585290217811,0.596,False
holdout,spot,overshoot_fade,game_council,0.23035697097953206,0.10906475569377888,0.349395841170854,1.0,True
holdout,spot,game_council,stealth_trend,0.002675845822896483,-0.37988843922633486,0.37843637838809335,0.493,False
holdout,spot,stealth_trend,minority_oracle,0.06658336554553096,-0.4379441009955234,0.6662391043277311,0.596,False
holdout,spot,minority_oracle,flow_regime,0.028513756952873504,-0.3840180649092574,0.3385029581259464,0.5605,False
holdout,spot,flow_regime,camouflage_flow,0.031323090994786806,-0.1786625802195912,0.23235767315088146,0.623,False
holdout,spot,camouflage_flow,game_switch,0.5828924686811106,0.041709189027884494,1.237826871848368,0.985,True
holdout,spot,game_switch,tft_trend,2.5714067134470264,1.7129283758377545,3.3756283368521673,1.0,True
holdout,spot,tft_trend,rsi_reversion,0.6275217910789879,-0.13433275686476984,1.378601629641471,0.947,False
holdout,spot,rsi_reversion,macd_cross,1.0558517867611004,-2.899972610249657,6.132750520861033,0.6455,False
holdout,spot,macd_cross,regret_grid,0.003383231028927902,-2.373336263261385,2.0534225079566024,0.502,False
holdout,spot,regret_grid,macd_rsi,0.011505826666889263,-2.1937262800139,2.1580248617931566,0.4945,False
holdout,spot,macd_rsi,attrition_reversion,0.017269984646682168,-2.378945439364659,2.40129456769114,0.523,False
holdout,futures,buy_and_hold,kelly_regime_v4,1.127000255065209,-0.518639516179222,2.9526322326724634,0.9005,False
holdout,futures,kelly_regime_v4,kelly_regime_v3,0.08953067946566118,-0.1833348240051671,0.3683356607224357,0.732,False
holdout,futures,kelly_regime_v3,kelly_regime_ev,0.04859231058255453,-0.3186780826688068,0.42210755762256924,0.6005,False
holdout,futures,kelly_regime_ev,kelly_regime,0.005312910312115449,-0.5343930645410712,0.4778831419317323,0.499,False
holdout,futures,kelly_regime,kelly_regime_ev_fast,0.044764164043859855,-0.44001668610831696,0.5279794614740176,0.5755,False
holdout,futures,kelly_regime_ev_fast,kelly_regime_v2,0.022799673001486997,-0.47621883196336295,0.5108986319609756,0.5445,False
holdout,futures,kelly_regime_v2,champions_council,0.3248246770572729,-0.17921288004161137,0.9034891174366024,0.8845,False
holdout,futures,champions_council,universal_kelly,1.0583384920356869,-0.21787426095753978,2.4660502855919417,0.9415,False
holdout,futures,universal_kelly,harsanyi_crowd,0.528601840611015,0.12868820845442341,0.9039842895046311,0.993,True
holdout,futures,harsanyi_crowd,hedge_experts,0.023986987572265805,-5.221928259314732,5.094223341202542,0.511,False
holdout,futures,hedge_experts,overshoot_fade,0.27273357170967016,-4.615956767237379,5.463508381052575,0.524,False
holdout,futures,overshoot_fade,replicator_book,1.3647455028562745,-1.135084398665581,3.861239574287848,0.8475,False
holdout,futures,replicator_book,camouflage_flow,0.038209732946026254,-2.793802529275451,2.8073523616397176,0.4865,False
holdout,futures,camouflage_flow,game_council,0.02612727718128882,-1.090996723194488,1.1212611523849956,0.5155,False
holdout,futures,game_council,minority_oracle,0.02389633463303875,-1.7192686162588258,2.5388030187377106,0.492,False
holdout,futures,minority_oracle,flow_regime,0.16879044486675143,-2.484783015822861,2.3114887663229613,0.5655,False
holdout,futures,flow_regime,stealth_trend,0.6812866406981097,-1.4857894728822032,2.7827518476646422,0.744,False
holdout,futures,stealth_trend,game_switch,0.4466365734823947,-2.491252271930961,3.8055493412739683,0.5955,False
holdout,futures,game_switch,macd_cross,3.240589875881488,-4.633756330501158,15.145017277195834,0.6925,False
holdout,futures,macd_cross,regret_grid,0.005627082832213581,-4.363112148946741,4.079646659028063,0.526,False
holdout,futures,regret_grid,macd_rsi,0.0650937260962321,-3.44117861555799,4.128727846240373,0.522,False
holdout,futures,macd_rsi,attrition_reversion,0.022794270463594835,-3.0568684140723783,2.982057392144029,0.492,False
holdout,futures,attrition_reversion,tft_trend,0.001674848083929703,-6.402797545838402,5.889913654662595,0.504,False
holdout,futures,tft_trend,rsi_reversion,0.09576315059083829,-5.411870527707223,5.42937595798989,0.507,False
