split,market,sizer,gate,k,final,vol,max_dd,sharpe,fills,fees,clamp,liquidated,mean_target
inner-train,spot,plain,evidence,1.0,3703.466023973787,0.19687557774960174,18.58876476654184,1.7623009421855798,325,66.5804671012827,0.00022355350182291233,False,0.1765843333403469
inner-train,spot,plain,evidence,1.5,6226.561004249253,0.28666555329624277,26.651706603317514,1.7396524265662605,282,112.18359099535559,0.029271239366344733,False,0.2648765000105203
inner-train,spot,plain,evidence,2.0,9291.865160212965,0.3560355279853799,31.5122805340125,1.7448134924027834,203,119.58025780502717,0.08215115546243469,False,0.3531686666806938
inner-train,spot,plain,evidence,3.0,12973.221863904097,0.4509291203765296,39.50797568128521,1.647918593163809,134,135.40510756855446,0.17497342329379925,False,0.5297530000210406
inner-train,spot,plain,evidence,4.0,16837.89325644876,0.5134180501711059,47.040288154445875,1.6331775265665676,97,134.96866811928334,0.22359868816902548,False,0.7063373333613876
inner-train,spot,plain,evidence,6.0,24499.559159381486,0.5943254683083226,56.98700790115498,1.6441058064611447,49,112.06405953153896,0.3510408318092851,False,1.0595060000420813
inner-train,spot,conditional,vote,0.25,2504.5057518210333,0.10885996208761756,11.166361635429594,2.164311812115772,293,36.158953822806,0.0,False,0.10723169012979734
inner-train,spot,conditional,vote,0.5,5899.585978027676,0.21790677218534935,23.165417043165597,2.146701845622427,466,142.70176049737898,0.0,False,0.2144633802595947
inner-train,spot,conditional,vote,0.75,11019.41873803307,0.3127014103318483,35.394568628976124,2.07634345665734,466,291.53463434346094,0.026859715421148636,False,0.32169507038939205
inner-train,spot,conditional,vote,1.0,17945.11708311506,0.3980376550952035,43.25482798806938,2.0140301439096517,450,491.79895383531994,0.07427446186629122,False,0.4289267605191894
inner-train,spot,conditional,vote,1.5,28753.235115127303,0.5173387030601018,53.63355817041887,1.8833784683662451,420,838.2467475497697,0.23095217144175362,False,0.6433901407787841
inner-train,spot,conditional,vote,2.0,30170.306294920214,0.5915941850069236,62.12444209716731,1.7370677198934947,364,978.4357681794519,0.42367431584304643,False,0.8578535210383788
inner-train,spot,conditional,vote,3.0,26692.046061877132,0.6528705991220162,67.2933704754501,1.5854751741784143,286,946.4851842229631,0.5441672750968534,False,1.2867802815575682
inner-train,spot,conditional,vote,4.0,24687.159643694707,0.6819929861974502,69.27451366464594,1.5176337276575451,227,912.4107807175233,0.6113094289634966,False,1.7157070420767575
inner-train,spot,conditional,vote,6.0,27877.850981374024,0.7111804531121849,67.81401489479488,1.5266939190784763,178,947.5179267206322,0.6762945293604229,False,2.5735605631151364
inner-train,spot,conditional,evidence,0.25,1614.7379821693262,0.06217616953967336,7.496694398914447,1.9590947000262287,33,2.831667778706604,0.0,False,0.03912209246355418
inner-train,spot,conditional,evidence,0.5,2198.780715193419,0.11228491044894076,9.613783528722804,1.811642696940556,117,13.037885340305664,0.0,False,0.07824418492710836
inner-train,spot,conditional,evidence,0.75,2961.908121520726,0.1616796556019513,15.570181658292462,1.7611012328485338,272,38.30138959088578,0.0,False,0.11736627739066255
inner-train,spot,conditional,evidence,1.0,4322.9583301712555,0.2161758638517911,20.05656121703242,1.8024534485389867,278,65.86756235581535,2.3782287427969397e-06,False,0.1564883698542167
inner-train,spot,conditional,evidence,1.5,7861.016044191762,0.3043113590647184,27.499250636082117,1.8475908175227662,230,104.59330066544688,0.03765211745596115,False,0.2347325547813251
inner-train,spot,conditional,evidence,2.0,11242.531197712597,0.36708145821773097,32.31316982540403,1.8330307640546484,169,120.74228742722924,0.08806818857451347,False,0.3129767397084334
inner-train,spot,conditional,evidence,3.0,14503.604246300158,0.4553590501145469,41.90586362484861,1.6974706790868272,126,145.30123260527333,0.1714346189245174,False,0.4694651095626502
inner-train,spot,conditional,evidence,4.0,15406.433547645505,0.511323144890565,47.586256512543905,1.594266211058715,97,141.02114674501064,0.20868005926546027,False,0.6259534794168669
inner-train,spot,conditional,evidence,6.0,25937.68911341593,0.5769677977202835,49.15760587312427,1.7006713337798545,61,153.9710367373266,0.31329120697486923,False,0.9389302191253004
inner-train,futures,plain,vote,0.25,2570.3286745857367,0.11568837320857919,9.111554933619722,2.099307681045341,136,10.469665923162193,0.0,False,0.11290113979132282
inner-train,futures,plain,vote,0.5,5601.367868586257,0.2367182304251747,23.74306589602104,1.9393606523170457,178,42.63642418193864,0.0,False,0.22580227958264565
inner-train,futures,plain,vote,0.75,15195.399661452431,0.32526683796984035,28.41587172108967,2.2555365620704655,218,152.27045395485635,0.0,False,0.3387034193739685
inner-train,futures,plain,vote,1.0,29264.756568552548,0.4206055059984843,36.47048298941681,2.2187823687692623,269,339.3573601814778,0.0,False,0.4516045591652913
inner-train,futures,plain,vote,1.5,90414.9882380072,0.601298997995481,47.45616642156815,2.1752279685664746,339,1005.986186781105,0.0,False,0.677406838747937
inner-train,futures,plain,vote,2.0,253756.83369335832,0.7852449880504375,61.385011239317535,2.1574166862814574,417,2852.4646375648545,0.0,False,0.9032091183305826
inner-train,futures,plain,vote,3.0,1271416.118643844,1.1453421439806584,81.3495494740266,2.1368813183880286,544,11520.342469338717,0.016276597515702255,False,1.354813677495874
inner-train,futures,plain,vote,4.0,2923643.891162668,1.4818878754581217,90.50864142289005,2.0944098029596794,553,25004.638964186954,0.043369379353644995,False,1.8064182366611652
inner-train,futures,plain,vote,6.0,1671189.8976154404,2.0345908181399865,97.06733684270301,1.9431748404681548,543,22574.852261823795,0.18475032165543745,False,2.709627354991748
inner-train,futures,plain,evidence,0.25,1603.0896421500174,0.10152475073332118,12.778845532142016,1.213678345663865,2,0.21186747729187944,0.0,False,0.044146083335086725
inner-train,futures,plain,evidence,0.5,2329.7706817295602,0.15804401127938886,19.546918006813343,1.417841956496999,6,0.9724369249712134,0.0,False,0.08829216667017345
