period,market,strategy,days,dead_tail_pct,sharpe,sharpe_lo,sharpe_hi,d_sharpe,d_sharpe_lo,d_sharpe_hi,p_sharpe_beats_hold,max_dd_pct,max_dd_lo,max_dd_hi,d_max_dd_pp,d_max_dd_lo,d_max_dd_hi,p_dd_deeper_than_hold,d_log_growth,d_log_growth_lo,d_log_growth_hi,p_growth_beats_hold
holdout,spot,buy_and_hold,1319,0.0,1.0285304181735535,-0.024744262317445,2.084785916729009,0.0,0.0,0.0,0.0,53.07695240764046,29.407963576169333,71.52498909787282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
holdout,spot,kelly_regime_v4,1319,0.0758150113722517,1.2223223441616542,0.09675708662329119,2.2364801656968214,0.1937919259881007,-0.36172641283014795,0.7098681722357862,0.721,26.000584739385857,19.336817884385262,50.834702829618415,-27.076367668254605,-35.769817115708534,1.83810942137456,0.044,-0.11285425557943629,-0.9154204082861775,0.7654058769333378,0.3865
holdout,futures,cautious_optimism,1319,0.0,1.02052255436846,-0.03180967758904938,2.0756038628401017,-0.3541399164304686,-0.7148096848729487,-0.021775755718344184,0.016,52.84007538595951,29.232584872330737,71.31894773230479,-6.546534891087674,-20.18245412958592,-3.3776685859401714,0.0075,-1.3958497755141863,-3.0899984388668837,-0.10784705024828288,0.0135
holdout,futures,squint_council,1319,0.0,1.018164555473195,-0.034264617894188346,2.0725124365547645,-0.3564979153257335,-0.719434609290315,-0.022452900957194384,0.016,52.769285543849534,29.175793033293747,71.26691631141861,-6.617324733197648,-20.31429881673391,-3.374587535651183,0.0075,-1.40299214224164,-3.1046035382392123,-0.10949674401636686,0.0135
holdout,futures,normalhedge_council,1319,0.0,1.0169796813356762,-0.035564196939009,2.0711205858544064,-0.3576827894632524,-0.7217565049421012,-0.022795882520401326,0.016,52.7335338931088,29.142913963038122,71.24050576766918,-6.653076383938384,-20.3801557213695,-3.4040030052532466,0.0075,-1.4065731677452975,-3.111922381257236,-0.1103308156275644,0.0135
holdout,futures,swap_regret_council,1319,0.0,1.0280471349509064,-0.025009477885988767,2.0842110428347187,-0.3466153358480222,-0.7001185059673453,-0.019675238152642664,0.016,53.062809774610784,29.39659616958601,71.5118435713257,-6.323800502436399,-19.7587531382362,-3.2937986110049495,0.0075,-1.3729158471286829,-3.0469419452680073,-0.1026733866070806,0.0135
holdout,futures,blackwell_council,1319,6.1410159211523885,1.104754957783268,-0.1404463924113832,2.247137982041752,-0.2699075130156605,-1.025037280325123,0.42968883614400644,0.2135,34.6151856348332,17.06014513311272,52.16544856983245,-24.77142464221398,-46.769957595312974,-5.964298897918303,0.007,-1.788168460908795,-3.994436564499429,0.23051606636506872,0.042
holdout,futures,minimax_council,1319,0.1516300227445034,0.4516944564759991,-0.7207583496768024,1.4387741534268539,-0.9229680143229295,-1.7386507984326411,-0.16389233749677992,0.0095,37.58434148251194,18.892062409269354,60.128277640596124,-21.802268794535244,-46.653066768470275,4.712475371330141,0.0485,-2.4198625995300085,-4.780291186231914,-0.21888419349391064,0.0165
holdout,futures,nash_council,1319,0.0,0.6714764359875421,-0.5193924956138998,1.7641841890943226,-0.7031860348113864,-1.3000298936283459,-0.14463254282084761,0.005,42.10173975390152,24.387333437155164,65.61500620543106,-17.284870523145663,-35.48177998054188,5.829688982396103,0.063,-2.130913625623897,-4.161678235726397,-0.2942986186307899,0.011
holdout,futures,qre_council,1319,0.0,0.9395642974958963,-0.21471517585802555,1.9507427962438448,-0.43509817330303224,-0.8245203196487666,-0.0691595750106204,0.0085,24.26844758614651,15.853088090661675,45.93480526834591,-35.118162690900675,-42.85333831746824,-17.712791400695238,0.0,-2.011451074899691,-4.294222899714127,-0.0014240654662387793,0.0245
holdout,futures,sleeping_council,1319,0.0,1.0221119391667688,-0.030148038931658336,2.0778933399196946,-0.35255053163215977,-0.7116892016758511,-0.021324177593167376,0.016,52.88752227650802,29.270701595992367,71.35362402731873,-6.49908800053916,-20.09354616284497,-3.409348085250688,0.0075,-1.391023607462614,-3.0801238163687406,-0.10674273750701198,0.0135
holdout,futures,defensive_forecast,1319,0.8339651250947687,1.0351087447859721,0.014829896840772967,1.8765666054306307,-0.3395537260129564,-1.2467550885150058,0.5776204608546376,0.2125,2.821955324788538,1.339841843188914,4.645276013786233,-56.56465495225864,-77.64919711472625,-37.54470050444703,0.0,-2.6156353499743936,-5.723792719680051,0.21368183193899803,0.0335
holdout,futures,buy_and_hold,1319,0.0,1.3746624707989286,0.2722122125357824,2.412950806193164,0.0,0.0,0.0,0.0,59.38661027704718,40.16452805693245,80.40479190823412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
holdout,futures,kelly_regime_v4,1319,0.0758150113722517,1.3296868917395281,0.21842767116498804,2.322859534599447,-0.04497557905940042,-0.6172743319784041,0.5228210782187825,0.4285,30.080845839735094,21.296512750978916,53.8228905484497,-29.30576443731209,-41.47181734308996,-5.166151610019662,0.007,-1.159757296078768,-3.0244778727854187,0.527898598821552,0.1
